Registro;Time;Best_Fitness_Promedio
136;2,846057725;21783405,09
137;2,858624244;23312305,16
138;3,66041832;20895739,65
139;2,801618934;21354312,83
140;3,682095313;19188589,33
141;2,795824695;15970858,46
142;3,648313141;23286908,6
143;2,920172501;15373234,67
144;2,820203352;16693918,93
145;3,606466508;16074237,34
146;2,709943748;24542004,85
147;2,732186079;24444246,46
148;2,714760804;21512246,69
149;2,669821239;20938740,49
150;4,013916278;20092411,43
151;2,667571521;21539410,82
152;2,717391205;23914136,43
153;2,712250495;23873495,15
154;2,674555635;24360115,67
155;2,664545631;24341257,87
156;2,69850049;24220098,82
157;2,700192833;23729730,97
158;4,035343695;24196258,79
159;2,219024324;25677232,59
160;2,236064458;24058296,74
161;2,245536995;23412823,6
162;2,309721708;25164627,47
163;2,352878833;25537717,27
164;2,391818333;26871253,43
165;2,414136457;24107458,75
166;2,444432521;25025824,88
167;2,487777686;24901571,79
168;2,531728005;26229891
169;2,529341578;27890045,4
170;2,598203349;25976885,97
171;2,628888273;25631601,19
172;2,622819471;27703244,05
173;2,633629537;26616031,52
174;2,696052337;26257610,36
175;2,695908237;24975470,36
176;2,753244185;26109141,4
177;2,748988438;27059786,54
178;2,693846703;26844720,7
179;2,710532355;27473148,28
180;2,727310562;26467669,95
181;4,056158781;26648709,99
182;4,090607119;24781212,95
183;2,696840978;25400022,66
184;2,711514187;25299455,1
185;2,711691499;24173350,98
186;2,705221272;25228116,07
187;2,689657736;23604022,49
188;2,783255458;20473650,6
189;2,699758196;18782811,49
190;2,654173851;21716476,59
191;2,725483251;18199847,63
192;2,702784681;21679494,13
193;2,69465661;21501350,19
194;2,72502408;21309636,36
195;2,67057271;23052142,43
196;2,679511452;26139647,08
197;2,696454215;25693447,78
198;2,693248558;24516051,26
199;4,059095335;27063895,49
200;2,737690759;25355083,68
201;2,663271403;25995702,09
202;4,086341119;28338010,3
203;2,738334751;25447832,93
204;4,060772419;26780879,73
205;2,692110991;26854351,88
206;2,72131567;25707806,05
207;4,067604613;27789276,99
208;4,113068962;28097742,73
209;2,720698476;27350629,52
210;2,727323723;28252579,32
211;2,662551498;25608934,33
212;2,759103012;25979032,34
213;2,721983004;21214856,51
214;2,701527667;18545365,87
215;4,099529529;19578286,92
216;2,716482091;19022551,45
217;2,720108986;19449411,72
218;2,682668447;20542875,75
219;4,128642869;16857359
220;2,674318814;18937457,33
221;2,952405596;16862810
222;2,831865048;12994403,03
223;2,699965739;19998105,44
224;2,690533447;18589530,31
225;4,092851567;23841476,79
226;2,711967826;19236086,42
227;2,738155246;21353781,18
228;2,70751152;18304540,05
229;2,701365662;19681134,01
230;2,690055966;19398617,42
231;2,666786265;18132239,74
232;2,625457668;21074006
233;2,657327104;22078879,02
234;2,742341042;21316432,08
235;2,644028425;22911336,46
236;2,671995139;21407039,27
237;2,667937803;21903993,58
238;2,238710403;18393470,79
239;2,247977638;18177268,68
240;2,269709563;21679766,48
241;2,312804937;21594931,02
242;3,111015487;16460403,15
243;3,554601336;24584825,15
244;5,567176175;23136747,61
245;3,774869394;22111931,26
246;3,840306544;24498060,5
247;3,912814927;22739431,42
248;4,00173943;24505834,13
249;2,679614282;24375039,69
250;4,06297245;24981676,05
251;2,689736366;24020176,68
