POBLACION_20DIAS_AJT,ContMalQui_Emer_Flor,TotP_Siem_Emer,TotP_Emer_Flor,FerQui_Emer_Flor,PENDIENTE_RASTA,PH_RASTA,PROFUND_RAICES_VIVAS_RASTA,Porc_Ar,Porc_AF,Porc_MUY_PLASTICO,Temp_Min_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Rain_Accu_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Avg_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Avg_Mad,MATERIAL_GENETICO_PAC 105,MATERIAL_GENETICO_PIONEER 30F35 HRR,METODO_COSECHA_Manual,METODO_COSECHA_Mecanizada,TERRENO_CIRCUN_RASTA_PLANO O LLANO,POSICION_PERFIL_RASTA_PLANO,OBSERVA_PLANTAS_PEQUENAS_RASTA_MUY AFECTADAS,OBSERVA_PLANTAS_PEQUENAS_RASTA_PLANTAS NORMALES,OBSERVA_PLANTAS_PEQUENAS_RASTA_POCO AFECTADAS,RDT_AJUSTADO
73000,0,0,0,4,4,6,41,0,0,0,24.73,9.1,15505.82,118.3,79.27,33.99,29.2,80.25,33.42,28.98,0,0,1,0,1,1,0,1,0,4709.3
70000,1,0,0,3,5,6,24,0,0,0,24.89,9.48,15771.34,98.2,77.97,33.68,29,81.01,33.33,28.93,0,0,1,0,1,1,0,1,0,3623.26
65000,2,0,37.5,3,4,6,19,0,0,0,25.07,9.73,15671.54,61.1,77.39,33.48,28.86,81.65,33.67,29.23,1,0,1,0,1,1,0,1,0,4651.16
71000,1,0,0,3,4,6,25,0,31.67,0,24.77,9.23,15588.59,104.6,78.77,33.86,29.08,80.52,33.36,29.02,0,0,1,0,1,1,0,1,0,5180.23
71000,1,0,20,5,5,5,21,0,0,0,23.46,11.48,15962.76,91.8,80.86,35.06,29.14,81.09,35.3,29.27,0,0,1,0,0,1,0,1,0,4651.16
74000,2,40,0,3,5,5,21,0,0,0,23.56,10.15,16742.54,206.4,81.11,34.72,28.98,80.9,34.48,28.94,0,0,1,0,1,1,0,1,0,6593.02
74000,2,40,0,3,5,5,20,0,0,0,23.54,10.46,16959.89,158.9,80.82,34.56,28.9,80.85,34.93,29.18,0,0,1,0,1,1,0,1,0,6511.63
70000,1,0,0,3,4,6,19,0,0,0,24.53,8.78,15221.06,380.8,80.2,33.13,28.52,79.1,32.82,27.86,0,0,1,0,1,1,0,1,0,6027.91
72500,1,40,0,3,5,5.5,21,0,0,0,23.49,10.32,16693.87,233.6,81.03,34.75,29,80.89,34.34,28.82,0,0,1,0,1,1,0,1,0,5787.21
73000,1,0,0,1,4,6,36,0,0,0,24.32,8.96,14610.72,198.3,80.58,34.59,29.69,78.67,33.42,28.91,0,0,1,0,1,1,0,1,0,4744.19
73000,1,0,0,2,4,6,38,0,0,0,24.32,9.01,14608.84,198.3,80.55,34.44,29.58,79.09,33.44,28.88,0,0,1,0,1,1,0,1,0,4709.3
70000,1,0,0,1,4,6,34,0,0,0,25.07,9.73,15675.07,61.1,77.37,33.44,28.83,81.63,33.37,28.97,0,0,1,0,1,1,0,1,0,3813.95
58000,0,0,0,3,1,4.5,24,0,0,0,24.56,9,15314.59,145.1,79.89,34.19,29.33,79.87,33.32,28.95,0,0,1,0,1,1,0,0,1,4000
72000,1,15,0,3,4,6,21,0,0,0,24.19,8.94,15355.27,426.4,79.97,33.36,28.54,78.52,32.11,27.25,0,0,0,1,1,1,0,1,0,6102.33
60000,2,0,0,2,1,5.5,18,36.67,0,0,25.05,7.04,14733.47,252.1,82.55,32.88,28.97,81.41,32.72,28.8,0,0,1,0,1,1,0,1,0,5597.67
73000,1,23,0,3,3,5,12,0,0,0,25.07,9.73,15671.54,61.1,77.39,33.48,28.86,81.65,33.64,29.15,0,0,0,1,1,1,0,1,0,5368.6
70000,0,0,0,4,1.2,5.5,36,0,0,0,24.56,9,15314.59,145.1,79.89,34.19,29.33,79.87,33.3,28.88,0,0,1,0,1,1,0,0,1,1032.56
75000,2,0,0,2,1.8,6,40,0,0,0,24.73,9.1,15505.82,118.3,79.27,33.99,29.2,80.25,33.33,28.93,0,0,1,0,1,1,0,0,1,4534.88
60000,1,23,0,1,2,5,32,100,0,0,23.59,8.61,15874.54,183,80.67,32.13,27.96,82.52,32.61,28.22,0,0,0,1,1,1,0,1,0,6273.26
70000,0,0,14,2,1.8,5.5,30,0,0,0,24.98,9.53,15623.6,98.2,77.74,33.62,28.95,81.13,33.33,28.91,0,0,1,0,1,1,0,0,1,3720.93
65000,1,0,0,3,1,6,30,0,0,0,24.55,8.92,15325.4,188.5,80.9,34.5,29.63,78.79,33.58,28.97,0,0,1,0,1,1,0,1,0,4386.05
62500,1,0,0,2,1.6,6.5,36,0,0,0,24.82,9.4,15785.73,98.2,78.29,33.78,29.05,80.77,33.55,29.08,1,0,1,0,1,1,1,0,0,3627.91
