iter	Passed	Remaining
851	28902	5020
852	28921	4984
853	28938	4947
854	28957	4910
855	28974	4874
856	29001	4839
857	29024	4803
858	29047	4767
859	29067	4731
860	29088	4695
861	29109	4660
862	29131	4624
863	29155	4589
864	29175	4553
865	29196	4517
866	29221	4482
867	29247	4447
868	29267	4411
869	29289	4376
870	29309	4340
871	29330	4305
872	29351	4269
873	29369	4234
874	29388	4198
875	29408	4162
876	29427	4127
877	29446	4091
878	29464	4056
879	29484	4020
880	29501	3984
881	29520	3949
882	29540	3914
883	29558	3878
884	29579	3843
885	29600	3808
886	29620	3773
887	29641	3738
888	29661	3703
889	29682	3668
890	29707	3634
891	29726	3599
892	29747	3564
893	29765	3529
894	29788	3494
895	29806	3459
896	29829	3425
897	29865	3392
898	29887	3357
899	29906	3322
900	29924	3288
901	29944	3253
902	29967	3219
903	29989	3184
904	30009	3150
905	30032	3115
906	30058	3082
907	30081	3047
908	30097	3013
909	30114	2978
910	30134	2943
911	30155	2909
912	30178	2875
913	30200	2841
914	30219	2807
915	30238	2773
916	30256	2738
917	30275	2704
918	30293	2670
919	30314	2636
920	30334	2601
921	30354	2567
922	30375	2534
923	30394	2500
924	30412	2465
925	30430	2431
926	30449	2397
927	30467	2363
928	30487	2330
929	30508	2296
930	30526	2262
931	30544	2228
932	30562	2194
933	30582	2161
934	30600	2127
935	30617	2093
936	30636	2059
937	30654	2026
938	30672	1992
939	30691	1959
940	30708	1925
941	30727	1891
942	30747	1858
943	30764	1825
944	30782	1791
945	30800	1758
946	30820	1724
947	30840	1691
948	30861	1658
949	30881	1625
950	30901	1592
951	30927	1559
952	30946	1526
953	30964	1493
954	30982	1459
955	30999	1426
956	31016	1393
957	31035	1360
958	31054	1327
959	31075	1294
960	31094	1261
961	31110	1228
962	31129	1196
963	31149	1163
964	31168	1130
965	31188	1097
966	31204	1064
967	31224	1032
968	31241	999
969	31258	966
970	31275	934
971	31294	901
972	31313	868
973	31331	836
974	31348	803
975	31366	771
976	31382	738
977	31400	706
978	31415	673
979	31431	641
980	31445	609
981	31465	576
982	31482	544
983	31498	512
984	31514	479
985	31527	447
986	31543	415
987	31560	383
988	31576	351
989	31594	319
990	31613	287
991	31630	255
992	31648	223
993	31666	191
994	31686	159
995	31705	127
996	31726	95
997	31745	63
998	31765	31
999	31782	0
5	41441	166
996	41462	124
997	41485	83
998	41508	41
999	41529	0

988	95506	1062
989	95541	965
990	95577	868
991	95616	771
992	95646	674
993	95697	577
994	95725	481
995	95758	384
996	95794	288
997	95824	192
998	95864	95
999	95904	0
