Registro,Time,Standar Desviation,Min Fitness,Max Fitness,Best_Fitness_Promedio
136,2.5098702907562256,0.0,12712634.22,12712634.22,12712634.22
137,2.9405603408813477,0.0,18304125.42,18304125.42,18304125.42
138,2.7206718921661377,0.0,19986594.51,19986594.51,19986594.51
139,2.871971607208252,0.0,17478871.44,17478871.44,17478871.44
140,2.670351505279541,0.0,18024819.17,18024819.17,18024819.17
141,2.6949191093444824,0.0,15878807.51,15878807.51,15878807.51
142,2.5257246494293213,0.0,12768002.26,12768002.26,12768002.26
143,2.9406797885894775,0.0,19671075.99,19671075.99,19671075.99
144,2.628512144088745,0.0,12342896.25,12342896.25,12342896.25
145,2.6822755336761475,0.0,12639899.54,12639899.54,12639899.54
146,2.4871912002563477,0.0,12823179.6,12823179.6,12823179.6
147,3.5729358196258545,0.0,15828470.56,15828470.56,15828470.56
148,3.2208333015441895,0.0,18898027.34,18898027.34,18898027.34
149,3.3980467319488525,0.0,12370973.95,12370973.95,12370973.95
150,3.6064600944519043,0.0,12225206.21,12225206.21,12225206.21
151,3.386479377746582,0.0,10956339.64,10956339.64,10956339.64
152,1.61334228515625,0.0,12633144.02,12633144.02,12633144.02
153,3.2829887866973877,0.0,15872365.28,15872365.28,15872365.28
154,3.6199660301208496,0.0,15159960.86,15159960.86,15159960.86
155,3.2405731678009033,0.0,15646581.38,15646581.38,15646581.38
156,3.37418270111084,0.0,16268615.34,16268615.34,16268615.34
157,3.2274656295776367,0.0,16186339.45,16186339.45,16186339.45
158,3.6548142433166504,0.0,14976713.18,14976713.18,14976713.18
159,3.3870434761047363,0.0,15631841.64,15631841.64,15631841.64
160,3.1886518001556396,0.0,14341326.35,14341326.35,14341326.35
161,3.702878713607788,0.0,17773090.67,17773090.67,17773090.67
162,3.487807273864746,0.0,15515142.29,15515142.29,15515142.29
163,3.259300947189331,0.0,15736232.51,15736232.51,15736232.51
164,3.5652849674224854,0.0,16017655.51,16017655.51,16017655.51
165,3.378208875656128,0.0,16816171.19,16816171.19,16816171.19
166,3.3106794357299805,0.0,17729434.01,17729434.01,17729434.01
167,3.1734774112701416,0.0,15176049.34,15176049.34,15176049.34
168,1.8172829151153564,0.0,16119558.08,16119558.08,16119558.08
169,3.3990354537963867,0.0,16545205.78,16545205.78,16545205.78
170,3.232146978378296,0.0,17768593.33,17768593.33,17768593.33
171,3.2533602714538574,0.0,19162800.11,19162800.11,19162800.11
172,3.7148447036743164,0.0,17255339.89,17255339.89,17255339.89
173,3.4767699241638184,0.0,16923267.86,16923267.86,16923267.86
174,3.24215030670166,0.0,18937115.6,18937115.6,18937115.6
175,3.5247714519500732,0.0,17894485.44,17894485.44,17894485.44
176,3.378964900970459,0.0,17901244.36,17901244.36,17901244.36
177,3.222405195236206,0.0,16222452.57,16222452.57,16222452.57
178,3.599331855773926,0.0,17251191.95,17251191.95,17251191.95
179,3.6361887454986572,0.0,18346252.25,18346252.25,18346252.25
180,3.2591938972473145,0.0,18131186.41,18131186.41,18131186.41
181,3.2467381954193115,0.0,18226943.87,18226943.87,18226943.87
182,3.7850029468536377,0.0,18111303.94,18111303.94,18111303.94
183,3.4639179706573486,0.0,18084292.84,18084292.84,18084292.84
184,3.259023427963257,0.0,16216795.8,16216795.8,16216795.8
185,3.581727981567383,0.0,16266761.7,16266761.7,16266761.7
186,3.406325340270996,0.0,16171395.1,16171395.1,16171395.1
187,3.319206714630127,0.0,15425534.16,15425534.16,15425534.16
188,1.443453073501587,0.0,16824463.24,16824463.24,16824463.24
189,1.6617176532745361,0.0,14697755.68,14697755.68,14697755.68
190,2.967039108276367,0.0,16828271.89,16828271.89,16828271.89
191,3.2371411323547363,0.0,10074478.17,10074478.17,10074478.17
192,3.2098464965820312,0.0,13002942.3,13002942.3,13002942.3
193,3.804270029067993,0.0,9486313.34,9486313.34,9486313.34
194,3.201035737991333,0.0,12546233.17,12546233.17,12546233.17
195,3.407752752304077,0.0,12360077.45,12360077.45,12360077.45
196,1.46533203125,0.0,11746585.37,11746585.37,11746585.37
197,3.7818973064422607,0.0,15375551.35,15375551.35,15375551.35
198,3.3268866539001465,0.0,17426112.79,17426112.79,17426112.79
199,3.2173471450805664,0.0,16979913.49,16979913.49,16979913.49
200,1.4195096492767334,0.0,14953000.27,14953000.27,14953000.27
201,3.7861294746398926,0.0,18499478.34,18499478.34,18499478.34
202,3.2434909343719482,0.0,16536617.73,16536617.73,16536617.73
203,3.244293451309204,0.0,17282167.8,17282167.8,17282167.8
204,3.730290651321411,0.0,20453968.42,20453968.42,20453968.42
205,3.41664981842041,0.0,16694815.14,16694815.14,16694815.14
206,3.286588430404663,0.0,18216462.58,18216462.58,18216462.58
207,3.2858924865722656,0.0,18101334.09,18101334.09,18101334.09
208,3.711322069168091,0.0,17635163.53,17635163.53,17635163.53
209,3.2858805656433105,0.0,19119928.18,19119928.18,19119928.18
210,3.295652151107788,0.0,19533325.58,19533325.58,19533325.58
211,3.7678613662719727,0.0,19277987.0,19277987.0,19277987.0
212,3.2348639965057373,0.0,19499561.53,19499561.53,19499561.53
213,3.3148458003997803,0.0,16895400.04,16895400.04,16895400.04
214,3.9285154342651367,0.0,17265498.05,17265498.05,17265498.05
215,3.2226760387420654,0.0,12827304.36,12827304.36,12827304.36
216,3.495192289352417,0.0,9837032.55,9837032.55,9837032.55
217,3.782630443572998,0.0,10442215.14,10442215.14,10442215.14
218,3.3419249057769775,0.0,9894491.46,9894491.46,9894491.46
219,3.2803592681884766,0.0,10316150.76,10316150.76,10316150.76
220,3.2750558853149414,0.0,11885343.13,11885343.13,11885343.13
221,3.7906486988067627,0.0,8141013.88,8141013.88,8141013.88
222,3.2056875228881836,0.0,9804196.37,9804196.37,9804196.37
223,2.553154706954956,0.0,13445941.79,13445941.79,13445941.79
224,2.8651490211486816,0.0,9418750.41,9418750.41,9418750.41
225,3.4933831691741943,0.0,11696286.04,11696286.04,11696286.04
226,3.292412042617798,0.0,9461470.31,9461470.31,9461470.31
227,3.2840464115142822,0.0,15125131.68,15125131.68,15125131.68
228,3.9571774005889893,0.0,10108026.42,10108026.42,10108026.42
229,3.3430144786834717,0.0,12632235.11,12632235.11,12632235.11
230,3.3047778606414795,0.0,9596206.72,9596206.72,9596206.72
231,3.818113327026367,0.0,10547873.05,10547873.05,10547873.05
232,3.2748026847839355,0.0,10257344.67,10257344.67,10257344.67
233,3.2239060401916504,0.0,9423906.41,9423906.41,9423906.41
234,3.533466100692749,0.0,12360471.71,12360471.71,12360471.71
235,3.4155778884887695,0.0,13370545.69,13370545.69,13370545.69
236,3.2795698642730713,0.0,12175159.33,12175159.33,12175159.33
237,3.352449893951416,0.0,13778075.5,13778075.5,13778075.5
238,3.730336904525757,0.0,12685493.19,12685493.19,12685493.19
239,3.290138006210327,0.0,13168736.5,13168736.5,13168736.5
240,1.5257086753845215,0.0,10919378.71,10919378.71,10919378.71
241,1.455439805984497,0.0,9067477.31,9067477.31,9067477.31
242,3.832385301589966,0.0,9044007.73,9044007.73,9044007.73
243,1.458643913269043,0.0,11696988.81,11696988.81,11696988.81
244,3.1993627548217773,0.0,12466871.02,12466871.02,12466871.02
245,2.6429295539855957,0.0,13036834.68,13036834.68,13036834.68
246,3.674851894378662,0.0,16230271.34,16230271.34,16230271.34
247,3.4713339805603027,0.0,15224076.36,15224076.36,15224076.36
248,3.2758474349975586,0.0,13547514.11,13547514.11,13547514.11
249,3.4091012477874756,0.0,15933643.35,15933643.35,15933643.35
250,3.6059913635253906,0.0,14175014.28,14175014.28,14175014.28
251,3.365903854370117,0.0,15941416.98,15941416.98,15941416.98
252,3.457484245300293,0.0,16302397.16,16302397.16,16302397.16
253,3.6598780155181885,0.0,16417258.9,16417258.9,16417258.9
254,3.269880533218384,0.0,15267158.89,15267158.89,15267158.89
255,3.355048894882202,0.0,14952536.79,14952536.79,14952536.79
256,1.4966535568237305,0.0,14560675.08,14560675.08,14560675.08
257,3.6129086017608643,0.0,16172235.08,16172235.08,16172235.08
258,3.2563700675964355,0.0,14848796.98,14848796.98,14848796.98
259,1.43607497215271,0.0,12172921.6,12172921.6,12172921.6
260,3.3944668769836426,0.0,12793215.21,12793215.21,12793215.21
261,3.609719753265381,0.0,15594658.47,15594658.47,15594658.47
262,1.4785332679748535,0.0,14631654.26,14631654.26,14631654.26
263,3.274519920349121,0.0,13364248.98,13364248.98,13364248.98
264,1.6647536754608154,0.0,12421254.84,12421254.84,12421254.84
265,1.4871330261230469,0.0,14887815.92,14887815.92,14887815.92
266,3.6348254680633545,0.0,15705038.19,15705038.19,15705038.19
267,3.355565071105957,0.0,15270713.08,15270713.08,15270713.08
268,3.3954355716705322,0.0,16380179.4,16380179.4,16380179.4
269,3.5703823566436768,0.0,17656019.64,17656019.64,17656019.64
270,3.173417091369629,0.0,15713140.06,15713140.06,15713140.06
271,3.4953255653381348,0.0,18342005.59,18342005.59,18342005.59
272,3.4101603031158447,0.0,17417338.2,17417338.2,17417338.2
273,3.5076377391815186,0.0,19208705.7,19208705.7,19208705.7
274,3.251403331756592,0.0,20687685.26,20687685.26,20687685.26
275,3.458765745162964,0.0,16775534.97,16775534.97,16775534.97
276,3.603081226348877,0.0,19130726.17,19130726.17,19130726.17
277,3.187255382537842,0.0,14464576.47,14464576.47,14464576.47
278,3.358355760574341,0.0,16850683.7,16850683.7,16850683.7
279,3.3782176971435547,0.0,16719436.07,16719436.07,16719436.07
280,2.62208890914917,0.0,12089549.66,12089549.66,12089549.66
281,3.263866901397705,0.0,10250108.06,10250108.06,10250108.06
282,3.275175094604492,0.0,10873001.17,10873001.17,10873001.17
283,3.53690242767334,0.0,18686006.88,18686006.88,18686006.88
284,3.3641748428344727,0.0,17832614.32,17832614.32,17832614.32
285,3.192389726638794,0.0,17860841.86,17860841.86,17860841.86
286,3.333298921585083,0.0,11342072.03,11342072.03,11342072.03
287,2.7242918014526367,0.0,11857080.51,11857080.51,11857080.51
288,2.630436658859253,0.0,14310605.02,14310605.02,14310605.02
289,1.4157803058624268,0.0,13240061.7,13240061.7,13240061.7
290,3.1851601600646973,0.0,13409691.63,13409691.63,13409691.63
