,ID_LOTE,DivisionCadenas
520,3507,"['FAr', 'FAr']"
521,3516,"['FAr', 'FAr']"
522,3517,"['FAr', 'FAr']"
523,3518,"['FAr', 'FAr']"
524,3540,"['ArL', 'L']"
525,3559,"['Ar', 'F']"
526,3569,"['FAr', 'ArA']"
527,3571,"['FAr', 'Ar']"
528,3582,"['FAr', 'FAr']"
529,3586,"['FAr', 'FAr']"
530,3631,"['Ar', 'F']"
531,3632,"['Ar', 'FAr']"
532,3633,"['FAr', 'F']"
533,3642,"['Ar', 'FAr']"
534,3643,"['Ar', 'FAr']"
535,3644,"['FAr', 'Ar']"
536,3667,"['FAr', 'FA']"
537,3668,"['FAr', 'F']"
538,3671,"['FrL', 'F']"
539,3672,"['Ar', 'FAr']"
540,3673,"['FrL', 'FA']"
541,3675,"['Ar', 'FAr']"
542,3677,"['FAr', 'Ar']"
543,3679,"['FAr', 'F']"
544,3680,"['Ar', 'FA']"
545,3681,"['L', 'FrL']"
546,3682,"['Ar', 'FA']"
547,3683,"['Ar', 'FAr']"
548,3684,"['FAr', 'FA']"
549,3685,"['FAr', 'F']"
550,3686,"['FAr', 'F']"
551,3692,"['FAr', 'FAr']"
552,3693,"['FAr', 'FAr']"
553,3694,"['FAr', 'FAr']"
554,3695,"['FAr', 'FAr']"
555,3696,"['FAr', 'FAr']"
556,3697,"['FAr', 'FAr', 'FAr']"
557,3698,"['FAr', 'FAr', 'FAr']"
558,3699,"['FAr', 'FAr', 'FAr']"
559,3700,"['FAr', 'FA']"
560,3701,"['FAr', 'FAr']"
561,3710,"['FAr', 'FAr']"
562,3715,"['FAr', 'FAr']"
563,3716,"['FAr', 'FA']"
564,3717,"['FAr', 'FAr']"
565,3718,"['FAr', 'FAr']"
566,3719,"['FAr', 'FAr']"
567,3720,"['AF', 'FAr']"
568,3724,"['Ar', 'FAr']"
569,3733,"['FAr', 'FA']"
570,3734,"['Ar', 'FAr']"
571,3735,"['FAr', 'F']"
572,3736,"['FAr', 'F']"
573,3737,"['FA', 'FrL']"
574,3738,"['ArL', 'L']"
575,3739,"['FA', 'F']"
576,3740,"['Ar', 'F']"
577,3741,"['FAr', 'F']"
578,3742,"['FAr', 'Ar']"
579,3743,"['FAr', 'F']"
580,3744,"['FAr', 'F']"
581,3745,"['FAr', 'F']"
582,3746,"['FrL', 'FA']"
583,3747,"['FAr', 'F']"
584,3748,"['L', 'FrL']"
585,3749,"['FAr', 'F']"
586,3750,"['FAr', 'F']"
587,3751,"['FAr', 'F']"
588,3752,"['FAr', 'Ar']"
589,3753,"['F', 'FAr']"
590,3754,"['Ar', 'FAr']"
591,3755,"['L', 'FrL']"
592,3756,"['Ar', 'A']"
593,3757,"['F', 'FAr']"
594,3828,"['FAr', 'FAr']"
595,3830,"['FAr', 'FAr']"
596,3831,"['FAr', 'FAr']"
597,3922,"['FrL', 'FrL']"
598,3923,"['FAr', 'F']"
599,3924,"['Ar', 'FAr']"
600,3925,"['Ar', 'F']"
601,3926,"['FAr', 'F']"
602,3927,"['FAr', 'F']"
603,3928,"['Ar', 'FAr']"
604,3929,"['Ar', 'FAr']"
605,3930,"['FAr', 'F']"
606,3931,"['Ar', 'FA']"
607,3932,"['FrL', 'FA']"
608,3933,"['Ar', 'FAr']"
609,3934,"['FAr', 'Ar']"
610,3935,"['Ar', 'FAr']"
611,3936,"['Ar', 'FAr']"
612,3937,"['Ar', 'ArA']"
613,3938,"['Ar', 'F']"
614,3939,"['Ar', 'F']"
615,3940,"['FAr', 'F']"
616,3941,"['Ar', 'FAr']"
617,3942,"['F', 'FA']"
618,3943,"['Ar', 'FAr']"
619,3944,"['Ar', 'ArA']"
620,3946,"['FrL', 'F']"
621,3947,"['FA', 'F']"
622,4028,"['FAr', 'FAr']"
623,4029,"['FAr', 'FAr']"
624,4030,"['FAr', 'FAr']"
625,4031,"['FAr', 'FAr']"
626,4082,"['Ar', 'FAr']"
627,4083,"['FAr', 'Ar']"
628,4084,"['FAr', 'F']"
629,4085,"['FAr', 'F']"
630,4086,"['FAr', 'FA']"
631,4087,"['FAr', 'Ar']"
632,4088,"['FAr', 'F']"
633,4089,"['Ar', 'FAr']"
634,4090,"['FAr', 'F']"
635,4091,"['Ar', 'FAr']"
636,4092,"['FA', 'F']"
637,4093,"['FAr', 'F']"
638,4094,"['FAr', 'F']"
639,4112,"['FAr', 'FAr']"
640,4127,"['FAr', 'FAr']"
641,4129,"['FAr', 'FAr']"
642,4135,"['FAr', 'FAr']"
643,4136,"['FAr', 'FA']"
644,4137,"['FAr', 'FAr']"
645,4141,"['FAr', 'FAr', 'FAr']"
646,4144,"['FAr', 'FAr']"
647,4148,"['FAr', 'FAr']"
648,4149,"['Ar', 'Ar']"
649,4150,"['Ar', 'Ar']"
650,4151,"['F', 'FAr']"
651,4154,"['Ar', 'Ar']"
652,4155,"['Ar', 'Ar']"
653,4156,"['ArL', 'Ar']"
654,4157,"['Ar', 'Ar']"
655,4158,"['FrL', 'FAr', 'FAr']"
656,4159,"['Ar', 'Ar']"
657,4160,"['FAr', 'Ar']"
658,4161,"['Ar', 'Ar']"
659,4162,"['Ar', 'Ar']"
660,4163,"['Ar', 'Ar']"
661,4164,"['FAr', 'Ar']"
662,4165,"['Ar', 'Ar']"
663,4166,"['F', 'F']"
664,4167,"['Ar', 'Ar']"
665,4168,"['FAr', 'Ar']"
666,4169,"['Ar', 'Ar']"
667,4170,"['Ar', 'Ar']"
668,4171,"['Ar', 'Ar']"
669,4172,"['ArA', 'Ar']"
670,4173,"['FAr', 'FAr']"
671,4174,"['FAr', 'FAr']"
672,4175,"['Ar', 'Ar']"
673,4176,"['Ar', 'Ar']"
674,4177,"['Ar', 'Ar']"
675,4178,"['ArL', 'Ar']"
676,4179,"['Ar', 'Ar']"
677,4180,"['F', 'F']"
678,4181,"['AF', 'F']"
679,4182,"['FA', 'FA']"
680,4183,"['FAr', 'FAr', 'FAr']"
681,4186,"['FAr', 'FAr', 'FAr']"
682,4187,"['FAr', 'FAr', 'FAr']"
683,4188,"['FAr', 'FAr', 'FAr']"
684,4189,"['FAr', 'FAr', 'FAr']"
685,4190,"['FAr', 'FAr', 'FAr']"
686,4191,"['FAr', 'FAr', 'FAr']"
687,4192,"['FAr', 'FAr', 'FAr']"
688,4193,"['FAr', 'FAr', 'FAr']"
689,4194,"['FAr', 'FAr', 'FAr']"
690,4195,"['FAr', 'FAr', 'FAr']"
691,4197,"['FAr', 'FAr', 'FAr']"
692,4198,"['FAr', 'FAr', 'FAr']"
693,4199,"['FAr', 'FAr', 'FAr']"
694,4200,"['FAr', 'FAr', 'FAr']"
695,4201,"['FAr', 'FAr', 'FAr']"
696,4202,"['FAr', 'FAr', 'FAr']"
697,4203,"['FAr', 'FAr', 'FAr']"
698,4205,"['Ar', 'Ar']"
699,4206,"['Ar', 'Ar']"
700,4207,"['Ar', 'Ar']"
701,4208,"['Ar', 'Ar']"
702,4210,"['FAr', 'Ar']"
703,4211,"['FAr', 'FAr']"
704,4212,"['FAr', 'Ar']"
705,4214,"['Ar', 'ArL']"
706,4215,"['FAr', 'Ar']"
707,4216,"['Ar', 'Ar']"
708,4217,"['FAr', 'Ar']"
709,4218,"['Ar', 'Ar']"
710,4219,"['Ar', 'FrL']"
711,4221,"['FAr', 'FAr']"
712,4222,"['FAr', 'Ar']"
713,4223,"['FAr', 'FAr', 'FAr']"
714,4224,"['Ar', 'Ar']"
715,4225,"['Ar', 'Ar']"
716,4226,"['Ar', 'Ar']"
717,4227,"['Ar', 'Ar']"
718,4228,"['Ar', 'Ar']"
719,4229,"['FAr', 'Ar']"
720,4230,"['FAr', 'FAr']"
721,4231,"['Ar', 'Ar']"
722,4247,"['FAr', 'FAr', 'FA']"
723,4248,"['FAr', 'FAr', 'FAr']"
724,4249,"['FAr', 'FAr']"
725,4250,"['FAr', 'FAr']"
726,4253,"['ArL', 'Ar']"
727,4254,"['Ar', 'Ar']"
728,4255,"['Ar', 'Ar']"
729,4256,"['ArL', 'Ar']"
730,4259,"['Ar', 'Ar']"
731,4260,"['Ar', 'Ar']"
732,4261,"['FAr', 'FAr', 'FA']"
733,4262,"['Ar', 'Ar']"
734,4263,"['Ar', 'Ar']"
735,4264,"['Ar', 'Ar']"
736,4265,"['FAr', 'FAr']"
737,4266,"['ArL', 'Ar']"
738,4267,"['F', 'FAr']"
739,4268,"['Ar', 'Ar']"
740,4269,"['FAr', 'Ar']"
741,4270,"['FAr', 'FAr']"
742,4271,"['Ar', 'Ar']"
743,4272,"['Ar', 'Ar', 'Ar']"
744,4273,"['Ar', 'Ar']"
745,4274,"['Ar', 'Ar']"
746,4275,"['FAr', 'FAr']"
747,4276,"['Ar', 'Ar']"
748,4277,"['Ar', 'Ar']"
