x,p(x),p(x2),P(X3),30
10550,3.3095E-22,8.88423E-18,7.78106E-08,
10580,1.60187E-22,4.78762E-18,4.99985E-08,
10610,7.70607E-23,2.56495E-18,3.18134E-08,
10640,3.68447E-23,1.36615E-18,2.00445E-08,
10670,1.75088E-23,7.23402E-19,1.25059E-08,
10700,8.26944E-24,3.8082E-19,7.72628E-09,
10730,3.8818E-24,1.99306E-19,4.72671E-09,
10760,1.81105E-24,1.03701E-19,2.8634E-09,
10790,8.39776E-25,5.36417E-20,1.71766E-09,
10820,3.87022E-25,2.75857E-20,1.0203E-09,
10850,1.77275E-25,1.41034E-20,6.00141E-10,
10880,8.07041E-26,7.16848E-21,3.49552E-10,
10910,3.6516E-26,3.62234E-21,2.01606E-10,
10940,1.64213E-26,1.81975E-21,1.15141E-10,
10970,7.33959E-27,9.08852E-22,6.51165E-11,
11000,3.26042E-27,4.51269E-22,3.64658E-11,
11030,1.43951E-27,2.22761E-22,2.02216E-11,
11060,6.31673E-28,1.0932E-22,1.11039E-11,
11090,2.75492E-28,5.33365E-23,6.03773E-12,
11120,1.19416E-28,2.58707E-23,3.25091E-12,
11150,5.14467E-29,1.24753E-23,1.73328E-12,
11180,2.20287E-29,5.98074E-24,9.15099E-13,
11210,9.37473E-30,2.85049E-24,4.78411E-13,
11240,3.96521E-30,1.35065E-24,2.47667E-13,
11270,1.66691E-30,6.3625E-25,1.2696E-13,
11300,6.96462E-31,2.9797E-25,6.44471E-14,
11330,2.89215E-31,1.38732E-25,3.23946E-14,
11360,1.19366E-31,6.42159E-26,1.61241E-14,
11390,4.89644E-32,2.95507E-26,7.94716E-15,
11420,1.99627E-32,1.35193E-26,3.87867E-15,
11450,8.08899E-33,6.14892E-27,1.87451E-15,
11480,3.25768E-33,2.78038E-27,8.97071E-16,
11510,1.30395E-33,1.24989E-27,4.25109E-16,
11540,5.18742E-34,5.58595E-28,1.99483E-16,
11570,2.05107E-34,2.4819E-28,9.26932E-17,
11600,8.06023E-35,1.0963E-28,4.26504E-17,
11630,3.14813E-35,4.81435E-29,1.94326E-17,
11660,1.22207E-35,2.10186E-29,8.76749E-18,
11690,4.71496E-36,9.12288E-30,3.91699E-18,
11720,1.808E-36,3.93658E-30,1.73286E-18,
11750,6.8906E-37,1.68876E-30,7.59117E-19,
11780,2.61008E-37,7.20237E-31,3.29297E-19,
11810,9.82627E-38,3.05382E-31,1.41449E-19,
11840,3.67673E-38,1.28728E-31,6.01656E-20,
11870,1.36733E-38,5.39461E-32,2.53413E-20,
11900,5.05386E-39,2.24755E-32,1.05693E-20,
11930,1.85657E-39,9.30933E-33,4.3651E-21,
11960,6.77856E-40,3.83343E-33,1.78516E-21,
11990,2.45981E-40,1.56934E-33,7.22927E-22,
12020,8.87166E-41,6.38714E-34,2.89899E-22,
12050,3.18014E-41,2.58438E-34,1.15115E-22,
12080,1.13299E-41,1.0396E-34,4.52638E-23,
12110,4.01183E-42,4.15755E-35,1.7624E-23,
12140,1.41188E-42,1.65298E-35,6.79504E-24,
12170,4.93847E-43,6.53369E-36,2.59426E-24,
12200,1.71682E-43,2.56749E-36,9.80774E-25,
12230,5.93193E-44,1.00304E-36,3.67162E-25,
12260,2.03706E-44,3.89576E-37,1.36107E-25,
12290,6.95267E-45,1.50426E-37,4.99619E-26,
12320,2.35851E-45,5.77451E-38,1.81606E-26,
12350,7.95172E-46,2.20377E-38,6.53667E-27,
12380,2.66454E-46,8.36141E-39,2.32979E-27,
12410,8.87407E-47,3.15393E-39,8.22261E-28,
12440,2.93739E-47,1.18273E-39,2.87367E-28,
12470,9.66358E-48,4.40938E-40,9.94487E-29,
12500,3.15975E-48,1.63429E-40,3.40796E-29,
