ID_EVENTO,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Temp_Max_34_Freq_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Temp_Min_15_Freq_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Temp_Max_34_Freq_For,Rain_Accu_For,Rain_10_Freq_For,Temp_Min_15_Freq_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Temp_Max_34_Freq_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Temp_Min_15_Freq_Mad,Rhum_Avg_Mad
780,32.0162597,24.5075,28.26187985,7.508759696,14772.67955,0.075,185.4,0.125,0,80.35,33.36494527,24.55344828,28.95919677,8.811496995,22134.36264,0.379310345,325,0.137931034,0,78.48275862,32.67333333,23.61333333,28.14333333,9.06,11689.29623,0.2,155.3,0.2,0,80.13333333
781,32.13945507,24.645,28.39222754,7.494455071,14749.74716,0.1,223.8,0.2,0,80.525,33.4561687,24.27068966,28.86342918,9.185479044,22425.28988,0.379310345,306.8,0.103448276,0,78.62068966,32.39032258,23.68064516,28.03548387,8.709677419,11521.78001,0.161290323,219.3,0.225806452,0,81.12903226
783,32.16767744,24.695,28.43133872,7.472677443,14710.19704,0.125,168.7,0.1,0,80.35,33.30433141,24.52931034,28.91682088,8.775021068,22027.11303,0.379310345,315.1,0.137931034,0,78.5,32.9,23.61428571,28.25714286,9.285714286,11112.9375,0.214285714,159.3,0.178571429,0,79.57142857
784,31.95268228,24.6275,28.29009114,7.325182277,14585.4696,0.075,198.6,0.15,0,80.9,33.56353252,24.35517241,28.95935247,9.208360111,22475.45219,0.396551724,333.3,0.137931034,0,78.55172414,32.35,23.65333333,28.00166667,8.696666667,11219.16941,0.166666667,195,0.2,0,80.6
786,32.15368034,23.6825,27.91809017,8.471180344,13635.9102,0.05,262.4,0.2,0,82.2,32.43949915,23.81206897,28.12578406,8.627430187,20729.9854,0,221.6,0.120689655,0,81.70689655,32.94171043,23.36451613,28.15311328,9.577194299,26262.55601,0.129032258,9.9,0,0,76.94998683
787,31.87891236,24.52,28.19945618,7.358912364,14549.47379,0.075,196.7,0.15,0,80.7,33.51596795,24.45,28.98298398,9.065967952,22519.29722,0.379310345,313.7,0.120689655,0,78.29310345,32.40322581,23.61612903,28.00967742,8.787096774,11704.46913,0.193548387,208.3,0.225806452,0,80.67741935
788,31.98018906,24.6225,28.30134453,7.357689064,14489.54082,0.075,233.2,0.2,0,80.975,33.50929,24.31551724,28.91240362,9.193772762,22557.90263,0.396551724,297.4,0.103448276,0,78.51724138,32.43103448,23.67241379,28.05172414,8.75862069,10849.72324,0.172413793,197.6,0.206896552,0,80.51724138
791,32.07,24.25,28.16,7.82,14559.85101,0.025,155.7,0.1,0,82.80733629,33.11880321,24.08275862,28.60078092,9.036044593,26199.30886,0.24137931,6.4,0,0,79.63487939,33,24.34705882,28.67352941,8.652941176,14385.98017,0.117647059,0,0,0,77.73393045
797,32.07237151,23.985,28.02868576,8.087371515,13364.52387,0.025,164.2,0.125,0,82.375,32.67404133,23.71724138,28.19564135,8.956799947,22307.70915,0.051724138,145.7,0.068965517,0,80.37931034,32.7284719,23.21304348,27.97075769,9.515428426,9977.811417,0,6.4,0,0,76.47387754
804,32.25044497,23.835,28.04272248,8.415444966,13916.7535,0,125,0.125,0,81.675,32.74450047,23.65689655,28.20069851,9.087603917,23018.34151,0.051724138,112.8,0.051724138,0,80.10344828,32.77093619,23.21875,27.99484309,9.552186185,6751.490547,0.0625,6.4,0,0,75.24369897
