ID_EVENTO,ID_PROD,FECHA_PREP,PROF_PREP
735,627,3/15/2014,20
736,625,3/24/2014,30
736,625,3/28/2014,25
737,630,3/5/2014,30
737,630,3/17/2014,25
744,591,3/25/2014,30
744,591,4/5/2014,25
745,629,4/15/2014,30
745,629,3/26/2014,25
747,698,3/5/2014,0
748,402,8/26/2013,0
749,399,8/8/2013,0
750,397,9/5/2013,0
751,499,9/7/2013,0
752,500,9/20/2013,0
754,401,9/9/2013,0
755,497,10/7/2013,0
757,405,8/27/2013,0
758,398,9/10/2013,0
759,396,9/5/2013,0
760,400,8/28/2013,0
761,726,4/13/2014,20
761,726,4/16/2014,15
762,688,3/14/2014,25
762,688,3/20/2014,15
765,727,4/4/2014,14
765,727,4/4/2014,8
766,728,4/10/2014,15
766,728,4/10/2014,15
767,730,8/10/2013,20
773,737,3/3/2014,20
774,738,2/24/2014,20
776,740,3/8/2014,20
779,743,5/18/2014,17
779,743,5/18/2014,17
780,744,4/15/2014,15
783,747,5/2/2014,15
784,748,5/10/2014,18
785,749,5/24/2014,20
785,749,5/24/2014,20
786,750,8/24/2013,25
786,750,8/25/2014,25
791,425,10/28/2013,35
791,425,10/28/2013,35
802,759,7/20/2013,20
807,818,5/5/2014,25
807,818,5/5/2014,25
809,820,8/29/2013,20
810,821,8/26/2013,30
814,825,5/16/2014,25
814,825,5/16/2014,25
816,827,3/20/2014,30
816,827,3/20/2014,25
818,829,5/5/2014,25
818,829,5/5/2014,25
825,836,5/14/2014,20
826,837,5/10/2014,25
837,848,3/8/2014,30
839,505,4/23/2013,30
839,505,4/23/2013,25
841,851,4/21/2013,28
841,851,4/21/2013,25
853,387,9/2/2014,30
853,387,9/6/2014,20
855,862,6/2/2014,30
858,501,9/3/2013,5
859,529,9/27/2013,5
860,708,2/27/2014,5
861,707,4/28/2014,5
862,703,2/24/2014,10
863,709,2/25/2014,8
864,716,3/18/2014,5
865,711,3/25/2014,5
866,717,4/23/2014,5
867,705,3/3/2014,5
868,718,3/10/2014,5
869,755,10/1/2014,3
870,724,3/25/2014,3
871,870,2/16/2014,30
873,873,2/18/2014,30
875,714,3/17/2014,3
876,874,2/17/2014,30
877,752,4/10/2014,3
878,719,4/15/2014,3
879,722,2/24/2014,20
880,715,3/24/2014,3
881,875,9/2/2014,30
882,702,5/2/2014,3
883,871,2/15/2014,30
884,872,2/18/2014,20
885,448,9/2/2013,20
888,878,3/2/2014,20
889,701,3/25/2014,3
890,710,3/24/2014,3
891,877,3/2/2014,30
892,712,3/25/2014,3
893,697,8/25/2014,8
895,725,10/4/2014,15
899,723,8/27/2014,4
952,635,8/20/2014,20
952,635,8/28/2014,15
953,236,8/27/2014,20
953,236,8/28/2014,15
954,236,8/22/2014,20
954,236,8/29/2014,15
955,156,3/20/2014,20
955,156,11/27/2014,15
956,156,8/27/2014,20
956,156,9/5/2014,15
1007,635,4/20/2014,20
1007,635,4/22/2014,15
1009,635,4/20/2014,20
1009,635,4/22/2014,15
1013,635,8/29/2014,20
1013,635,9/1/2014,15
1014,948,3/28/2014,15
1014,948,3/22/2014,25
1014,948,3/22/2014,25
1016,948,9/5/2014,20
1016,948,9/8/2014,15
1017,943,9/21/2014,20
1017,943,9/26/2014,15
1018,945,10/20/2014,20
1018,945,10/27/2014,15
1019,946,9/16/2014,20
1019,946,9/18/2014,15
1021,156,9/1/2014,20
1021,156,9/7/2014,15
1022,231,9/4/2014,20
1022,231,9/8/2014,15
1023,635,8/10/2014,20
1023,635,8/25/2014,15
1024,236,8/20/2014,20
1024,236,8/29/2014,15
1027,235,9/3/2014,20
1027,235,9/5/2014,15
1029,236,4/1/2014,20
1029,236,4/5/2014,15
1030,236,3/27/2014,20
1030,236,4/3/2014,15
1031,988,4/15/2014,20
1031,988,4/20/2014,15
1037,995,8/20/2014,20
1037,995,8/22/2014,15
1188,1108,10/10/2014,20
1192,1112,6/20/2014,20
1214,1073,5/19/2015,NULL
1241,1099,7/31/2014,20
1241,1099,8/7/2014,15
1242,1068,9/5/2014,20
1242,1068,9/11/2014,15
1254,1065,8/27/2014,20
1254,1065,9/6/2014,15
1257,1063,8/27/2014,20
1257,1063,9/5/2014,15
1273,1062,9/22/2014,20
1273,1062,8/31/2014,15
1274,1061,8/13/2014,20
1274,1061,8/22/2014,15
1276,1164,8/16/2014,20
1276,1164,8/23/2014,15
1279,1066,8/22/2014,20
1279,1066,8/29/2014,15
1280,1064,8/23/2014,20
1280,1064,9/7/2014,15
1281,1067,8/1/2014,20
1281,1067,8/10/2014,15
1653,506,9/25/2013,5
1654,720,9/28/2013,0
1655,720,9/20/2013,0
1656,899,9/20/2014,0
1657,514,9/18/2013,0
1658,516,9/29/2013,0
1659,518,9/18/2013,0
1660,518,9/18/2013,0
1661,962,9/20/2013,0
1662,520,9/25/2013,0
1663,520,9/27/2013,0
1664,521,9/30/2013,0
1665,522,9/15/2013,0
1666,523,9/15/2013,0
1667,633,4/27/2014,NULL
1668,524,9/20/2013,0
1669,525,9/15/2013,0
1670,526,9/14/2013,0
1671,521,9/15/2013,0
1672,502,10/28/2013,0
1673,508,10/14/2013,0
1675,200,4/20/2013,5
1675,200,4/20/2013,5
1675,200,4/20/2013,NULL
1676,205,4/20/2013,5
1676,205,4/20/2013,5
1676,205,4/20/2013,NULL
1677,206,5/4/2013,5
1677,206,5/4/2013,5
1677,206,5/4/2013,NULL
1678,207,3/5/2013,5
1678,207,3/5/2013,5
1678,207,3/5/2013,NULL
1679,958,1/20/2013,5
1679,958,1/20/2013,5
1679,958,1/20/2013,NULL
1680,209,3/20/2013,5
1680,209,3/20/2013,5
