ID_EVENTO,ID_LOTE,ID_FINCA,ID_PROD,LAT_LOTE,LONG_LOTE,FECHA_SIEMBRA,TIPO_SIEMBRA,NUM_SEMILLAS,SEM_TRATADAS,DIST_SURCOS,DIST_PLANTAS,TIPO_CULTIVO,COLOR_ENDOSPERMO,SEM_POR_SITIO,TIPO_DE_SEMILLA,HABITO_CRECIMIENTO,MATERIAL_GENETICO,OBJ_RDT,CULT_ANT,DRENAJE,FECHA_EMERGENCIA,POBLACION_20DIAS,FECHA_FLORACION,FECHA_COSECHA,METODO_COSECHA,RDT,PROD_COSECHADO,NOMBRE_LOTE,ORIGEN_SEMILLA,INOCULACION_SEMILLAS,NUEVA_INOCULACION_SEMILLAS,PRODUCTO_USADO,TIPO_MATERIAL,NUEVO_MATERIAL_GENETICO,OTRO_CULT_ANT,RESIEMBRA,CANTIDAD_TOTAL,HUMEDAD,ALMACENAMIENTO_FINCA,OBSERVACIONES_COSECHA,DEPARTAMENTO,MUNICIPIO,AREA
548,479,477,527,8.87875,-75.76086111,10/1/2013,Mecanizado,65000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,4,Maiz,SI,10/7/2013,60000,11/21/2013,1/30/2014,Manual,4000,Grano seco,SANTA LUCIA,NULL,NULL,NULL,NULL,Hibrido,SV - 1035,NULL,NULL,4000,23,SI,,CÓRDOBA,CERETÉ,1
549,480,478,528,8.897861111,-75.68011111,8/25/2013,Mecanizado,75000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,4,Maiz,SI,8/30/2013,68000,10/15/2013,1/15/2014,Manual,2500,Grano seco,ROMERO C  VIA LOS COCOS LOTE  2,NULL,NULL,NULL,NULL,Hibrido,SV-1035,NULL,NULL,7500,17,NO,,CÓRDOBA,CIÉNAGA DE ORO,3
559,484,481,530,8.884722222,-75.66416667,10/6/2013,Mecanizado,75000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,PIONEER 30F35,5.5,Maiz,SI,10/11/2013,68000,11/23/2013,2/10/2014,Manual,5000,Grano seco,SANTA ISABEL,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,10000,18,NO,,CÓRDOBA,CIÉNAGA DE ORO,2
560,485,482,531,8.891083333,-75.66652778,9/14/2013,Mecanizado,67000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,6,Maiz,SI,9/19/2013,65000,10/31/2013,1/10/2014,Manual,5600,Grano seco,LA CONSENTIDA,NULL,NULL,NULL,NULL,Hibrido,SYNCO,NULL,NULL,14000,18,NO,,CÓRDOBA,CIÉNAGA DE ORO,2.5
617,514,496,541,8.8835,-75.66436111,10/7/2013,Mecanizado,70000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,4.5,Maiz,SI,10/12/2013,68000,11/24/2013,2/10/2014,Manual,3500,Grano seco,EL CANAL,NULL,NULL,NULL,NULL,Hibrido,SV-1035,NULL,NULL,7000,18,NO,,CÓRDOBA,CIÉNAGA DE ORO,2
618,515,497,542,8.877472222,-75.7185,10/9/2013,Mecanizado,67000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,PIONEER 30F35,6,Maiz,SI,10/14/2013,60000,11/28/2013,3/10/2014,Manual,5000,Grano seco,SAN ANTONIO,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,34500,17,NO,,CÓRDOBA,CIÉNAGA DE ORO,6.9
766,651,631,728,8.845916667,-75.75672222,5/10/2014,Mecanizado,70000,NO,0.8,0.2,Maiz,Blanco,1,N/A,N/A,DK 234,6500,Algodón,NO,5/15/2014,60000,6/28/2014,9/9/2014,Manual,3500,Grano seco,EL MANGO,NULL,NULL,NULL,NULL,Hibrido,,NULL,0,5250,19,NO,PRODUCCIÓN AFECTADA POR SEQUÍA Y VOLCAMIENTO POR FUERTES VIENTOS,CÓRDOBA,CERETÉ,1.5
769,654,647,732,8.843333333,-75.75416667,5/6/2014,Manual,65000,SI,0.8,0.2,Maiz,Blanco,3,N/A,N/A,Otro,6500,Algodón,SI,5/10/2014,60000,6/23/2014,9/10/2014,Manual,3500,Grano seco,MI FORTUNA,NULL,NULL,NULL,Insecticidas,Variedad,7019,NULL,NULL,4375,19,NO,PRODUCCIÓN AFECTADA POR SEQUÍA,CÓRDOBA,CERETÉ,1.25
779,665,658,743,8.844444444,-75.7575,5/28/2014,Manual,60000,NO,0.8,0.2,Maiz,Amarillo,2,N/A,N/A,PIONEER 30F35 H,4500,Pastos,NO,6/5/2014,57000,7/9/2014,9/25/2014,Manual,3200,Grano seco,LA PISINGA,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,3200,19,NO,PRODUCCIÓN AFECTADA POR SEQUÍA,CÓRDOBA,CERETÉ,1
780,666,659,744,8.846388889,-75.75666667,5/8/2014,Mecanizado,65000,NO,0.8,0.2,Maiz,Blanco,1,N/A,N/A,DK 234,5000,Algodón,NO,5/15/2014,62000,6/25/2014,9/12/2014,Manual,3700,Grano seco,SANTA RITA,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,4440,21,NO,,CÓRDOBA,CERETÉ,1.2
781,667,660,745,8.845277778,-75.75694444,5/20/2014,Manual,65000,NO,0.8,0.2,Maiz,Amarillo,3,N/A,N/A,PIONEER 30F35,5500,Algodón,NO,5/26/2014,60000,7/8/2014,9/25/2014,Manual,3800,Grano seco,EL PORTILLO,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,5700,19,NO,,CÓRDOBA,CERETÉ,1.5
783,669,662,747,8.843611111,-75.75444444,5/5/2014,Manual,65000,NO,0.8,0.2,Maiz,Blanco,2,N/A,N/A,Otro,6500,Algodón,SI,5/11/2014,60000,6/22/2014,9/7/2014,Manual,3000,Grano seco,MANGO SOLITO,NULL,NULL,NULL,NULL,Hibrido,7019,NULL,NULL,3000,20,NO,PRODUCCIÓN AFECTADA POR SEQUÍA EN LA ZONA,CÓRDOBA,CERETÉ,1
784,670,663,748,8.844166667,-75.75722222,5/13/2014,Mecanizado,68000,SI,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,DK7088,6000,Algodón,NO,5/19/2014,64000,6/28/2014,9/17/2014,Manual,4000,Grano seco,LOS BONGOS,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,4000,17,NO,,CÓRDOBA,CERETÉ,1
785,671,664,749,8.879444444,-75.76055556,5/26/2014,Mecanizado,65000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,DK7088,6000,Maiz,SI,6/2/2014,62000,7/10/2014,10/3/2014,Manual,4200,Grano seco,SANTA LUCIA,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,4200,19,NO,,CÓRDOBA,CERETÉ,1
786,672,665,750,8.386944444,-75.45416667,8/27/2013,Mecanizado,68000,SI,0.8,0.2,Maiz,Blanco,1,N/A,N/A,DK 234,6500,Maiz,SI,9/3/2013,64000,10/12/2013,2/2/2014,Mecanizada,5000,Grano seco,LOS COCOS,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,97500,14,NO,,CÓRDOBA,CERETÉ,19.5
787,653,646,731,8.880277778,-75.76472222,5/10/2014,Mecanizado,60000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,5000,Maiz,SI,5/16/2014,57000,6/27/2014,9/15/2014,Manual,4000,Grano seco,VILLA LOURDES 2,NULL,NULL,NULL,NULL,Hibrido,FNC-8134,NULL,NULL,8000,18,NO,,CÓRDOBA,CERETÉ,2
788,668,661,746,8.844722222,-75.7575,5/17/2014,Manual,60000,SI,0.8,0.2,Maiz,Amarillo,3,N/A,N/A,DK7088,6000,Algodón,NO,5/23/2014,58000,6/30/2014,9/20/2014,Manual,3200,Grano seco,MANGO SOLO,NULL,NULL,NULL,Fungicidas,Hibrido,,NULL,0,3200,20,NO,,CÓRDOBA,CERETÉ,1
789,673,666,751,9.034722222,-76.57361111,11/15/2013,Manual,65000,NO,0.8,0.2,Maiz,Amarillo,2,N/A,N/A,PIONEER 30F35,6000,Maiz,SI,11/20/2013,62000,1/3/2014,3/31/2014,Manual,6300,Grano seco,NO HAY COMO DIOS,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,39690,20,NO,,CÓRDOBA,COTORRA,6.3
791,674,668,425,9.088055556,-76.53222222,11/2/2013,Mecanizado,67000,SI,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,PIONEER 30F35 H,6500,Algodón,SI,11/8/2013,65000,12/20/2013,3/13/2014,Mecanizada,6700,Grano seco,CAPELLANIA,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,76380,17,NO,,CÓRDOBA,LORICA,11.4
797,676,670,417,8.549444444,-75.51166667,9/17/2013,Mecanizado,70000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,6500,Maiz,SI,9/23/2013,67000,11/5/2013,1/15/2014,Mecanizada,7200,Grano seco,CALDERON,NULL,NULL,NULL,NULL,Hibrido,SV - 1035,NULL,NULL,267840,17,NO,,CÓRDOBA,CERETÉ,37.2
804,680,674,418,8.526666667,-75.50388889,9/29/2013,Mecanizado,65000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,7000,Maiz,SI,10/5/2013,62000,11/18/2013,1/20/2014,Mecanizada,6800,Grano seco,VILLA LENIS 1,NULL,NULL,NULL,NULL,Hibrido,SV - 1035,NULL,NULL,300500,18,NO,,CÓRDOBA,CERETÉ,44.2
805,681,675,413,8.978333333,-75.83194444,7/19/2013,Mecanizado,62000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,6200,Pastos,SI,7/26/2013,60000,9/6/2013,12/20/2013,Mecanizada,6500,Grano seco,NI SE SABE,NULL,NULL,NULL,NULL,Hibrido,SV -1035,NULL,NULL,96200,17,NO,,CÓRDOBA,SAN PELAYO,14.8
806,682,676,419,8.8775,-75.82277778,9/13/2013,Mecanizado,66000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,6500,Maiz,SI,9/19/2013,65000,10/31/2013,1/14/2014,Mecanizada,6800,Grano seco,MAMON,NULL,NULL,NULL,NULL,Hibrido,SV -1035,NULL,NULL,197200,19,NO,,CÓRDOBA,CERETÉ,29
807,683,677,818,8.4425,-75.51861111,5/9/2014,Mecanizado,60000,SI,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,PIONEER 30F35,7000,Algodón,SI,5/13/2014,58000,6/24/2014,9/2/2014,Manual,6000,Grano seco,LA ESPERANZA,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,18000,18,NO,,CÓRDOBA,CIÉNAGA DE ORO,3
813,689,683,824,8.575944444,-75.46227778,5/7/2014,Manual,68000,SI,0.8,0.2,Maiz,Blanco,3,N/A,N/A,DK 234,5000,Algodón,SI,5/13/2014,60000,6/22/2014,9/12/2014,Manual,3700,Grano seco,LA ESPINA,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,3700,21,NO,,CÓRDOBA,CERETÉ,1
814,690,684,825,8.215555556,-75.43722222,5/19/2014,Manual,67000,NO,0.8,0.2,Maiz,Amarillo,2,N/A,N/A,PAC 105,6000,Algodón,SI,5/23/2014,66000,7/5/2014,9/20/2014,Manual,4000,Grano seco,EL ROBLEDO,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,6000,20,NO,,CÓRDOBA,CIÉNAGA DE ORO,1.4
816,692,686,827,8.466944444,-75.50222222,3/26/2014,Mecanizado,67000,SI,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,6800,Algodón,SI,4/3/2014,65000,5/12/2014,7/31/2014,Mecanizada,6500,Grano seco,VETANIA,NULL,NULL,NULL,Insecticidas,Hibrido,SV - 1035,NULL,NULL,65000,18,NO,,CÓRDOBA,MONTERÍA,10
817,693,687,828,8.638888889,-75.67527778,5/6/2014,Mecanizado,80000,SI,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,DK7088,5000,Algodón,SI,5/14/2014,75000,6/24/2014,9/18/2014,Manual,4000,Grano seco,LA VILLITA,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,10000,20,NO,,CÓRDOBA,CERETÉ,2.5
818,694,688,829,9.037222222,-75.82361111,5/10/2014,Mecanizado,62000,SI,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,PAC 105,6000,Algodón,SI,5/17/2014,60000,6/26/2014,9/12/2014,Manual,4500,Grano seco,EL TOTUMO,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,9450,19,NO,,CÓRDOBA,LORICA,2.1
820,696,690,831,9.059722222,-75.73666667,5/20/2014,Mecanizado,67000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,PAC 105,6000,Algodón,SI,5/27/2014,65000,7/7/2014,9/22/2014,Mecanizada,5500,Grano seco,EL PALMITO,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,55000,18,NO,,CÓRDOBA,LORICA,10
821,697,691,832,9.017777778,-75.43416667,5/8/2014,Mecanizado,73000,SI,0.8,0.2,Maiz,Blanco,1,N/A,N/A,DK 234,6000,Algodón,SI,5/13/2014,62000,6/23/2014,9/12/2014,Manual,3000,Grano seco,LA CORDIALIDAD,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,12600,18,NO,,CÓRDOBA,COTORRA,4.2
823,699,693,834,8.524166667,-75.45166667,5/5/2014,Manual,72000,SI,0.8,0.2,Maiz,Amarillo,3,N/A,N/A,PAC 105,5000,Algodón,SI,5/11/2014,62000,6/25/2014,9/2/2014,Manual,3500,Grano seco,LA CHAMARRA,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,3500,19,NO,,CÓRDOBA,SAN PELAYO,1
824,700,695,835,9.097222222,-75.41388889,5/10/2014,Mecanizado,71000,SI,0.8,0.2,Maiz,Blanco,1,N/A,N/A,DK 234,5500,Algodón,SI,5/18/2014,68000,6/27/2014,9/25/2014,Mecanizada,3800,Grano seco,EL HIGO,NULL,NULL,NULL,Fungicida+Insecticida,Hibrido,,NULL,NULL,15580,21,NO,,CÓRDOBA,COTORRA,4.1
825,701,696,836,9.624166667,-75.51083333,5/20/2014,Mecanizado,62000,SI,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,PAC 105,6500,Algodón,SI,5/27/2014,60000,7/5/2014,9/25/2014,Mecanizada,3800,Grano seco,EL DESCANSO,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,22420,17,NO,,CÓRDOBA,LORICA,5.9
826,702,697,837,8.5375,-75.42861111,5/12/2014,Manual,72000,NO,0.8,0.2,Maiz,Amarillo,3,N/A,N/A,PAC 105,6500,Algodón,SI,5/18/2014,70000,6/30/2014,9/15/2014,Manual,4500,Grano seco,SAN ISIDRO,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,4500,19,NO,,CÓRDOBA,SAN PELAYO,1
827,703,698,838,9.061111111,-75.47305556,5/1/2014,Manual,72000,SI,0.8,0.2,Maiz,Amarillo,3,N/A,N/A,Otro,5400,Algodón,SI,5/7/2014,64000,6/20/2014,9/28/2014,Manual,4800,Grano seco,EL MANJAR,NULL,NULL,NULL,Insecticidas,Hibrido,SV -1035,NULL,NULL,11040,18,NO,,CÓRDOBA,LORICA,2.3
828,704,699,839,9.089444444,-75.95388889,5/10/2014,Manual,70000,SI,0.8,0.2,Maiz,Amarillo,3,N/A,N/A,PAC 105,5500,Algodón,SI,5/15/2014,66000,6/27/2014,9/18/2014,Manual,5000,Grano seco,LAS GAVIOTAS,NULL,NULL,NULL,Fungicida+Insecticida,Hibrido,,NULL,NULL,6500,19,NO,,CÓRDOBA,COTORRA,1.3
829,705,700,840,9.076666667,-75.45833333,5/4/2014,Manual,73000,SI,0.8,0.2,Maiz,Amarillo,2,N/A,N/A,PAC 105,5500,Algodón,SI,5/10/2014,63000,6/24/2014,9/18/2014,Manual,4800,Grano seco,LA BENDITA,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,9600,18,NO,,CÓRDOBA,COTORRA,2
830,706,701,841,8.539722222,-75.49833333,5/5/2014,Mecanizado,74000,SI,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,5500,Algodón,SI,5/11/2014,62500,6/24/2014,9/12/2014,Mecanizada,4200,Grano seco,EL GUADUAL,NULL,NULL,NULL,Insecticidas,Hibrido,SV-1035,NULL,NULL,33600,17,NO,,CÓRDOBA,SAN PELAYO,8
834,710,705,845,9.464722222,-75.64138889,5/12/2014,Manual,75000,SI,0.8,0.2,Maiz,Amarillo,3,N/A,N/A,PAC 105,5500,Frijol,SI,5/18/2014,60000,7/4/2014,9/23/2014,Manual,3800,Grano seco,LOS GOMEZ,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,3800,16,NO,,CÓRDOBA,COTORRA,1
