ID_EVENTO,ID_PROD,FECHA_FERT,ID_FER_QUI,TIPO_FERTILIZACION,CANTIDAD_PROD_FERTI,PROD_QUI,PROD_ORG,PROD_ENM,N,P,K
23,39,3/06/2013,11,Organica,1000,,Estiercol,,NA,NA,NA
24,40,2/06/2013,13,Organica,1000,,Compost,,NA,NA,NA
40,50,3/13/2013,171,Organica,100,,Gallinaza enriquecida,,NA,NA,NA
615,539,10/14/2013,623,Organica,3000,,Gallinaza enriquecida,,NA,NA,NA
807,818,5/27/2014,1048,Organica,200,,Lombri compost,,NA,NA,NA
955,156,3/31/2014,1270,Organica,100,,Lombri compost,,NA,NA,NA
1666,523,9/20/2013,2516,Organica,50,,Compost,,NA,NA,NA
1673,508,10/14/2013,2554,Organica,50,,Compost,,NA,NA,NA
2192,2015,3/30/2015,4065,Organica,46,,Otro,,NA,NA,NA
2194,2014,4/20/2015,3757,Organica,50,,Compost,,NA,NA,NA
2217,2127,4/05/2015,3805,Organica,75,,Compost,,NA,NA,NA
2232,2130,3/23/2015,4063,Organica,150,,Compost,,NA,NA,NA
2232,2130,4/23/2015,4064,Organica,120,,Compost,,NA,NA,NA
2291,2127,4/05/2015,4049,Organica,100,,Compost,,NA,NA,NA
2295,2129,3/24/2015,4060,Organica,150,,Compost,,NA,NA,NA
2299,2212,4/21/2015,4075,Organica,150,,Compost,,NA,NA,NA
2339,2252,3/23/2015,4215,Organica,50,,Compost,,NA,NA,NA
2391,2289,6/04/2015,4270,Organica,50,,Otro,,NA,NA,NA
2445,2218,4/08/2015,4354,Organica,75,,Compost,,NA,NA,NA
2463,2350,3/20/2015,4402,Organica,100,,Compost,,NA,NA,NA
2513,2376,4/18/2015,4508,Organica,150,,Compost,,NA,NA,NA
2563,2401,4/20/2015,4698,Organica,80,,Otro,,NA,NA,NA
2849,2563,3/23/2016,6433,Organica,11,,Lombri compost,,NA,NA,NA
2859,2563,2/23/2016,6270,Organica,10,,Compost,,NA,NA,NA
2906,2617,2/04/2016,5784,Organica,50,,Compost,,NA,NA,NA
2913,2620,8/01/2015,5792,Organica,50,,Compost,,NA,NA,NA
3029,2702,11/02/2015,6131,Organica,1,,Otro,,NA,NA,NA
3132,2617,3/10/2016,6277,Organica,30,,Compost,,NA,NA,NA
3145,2802,8/18/2015,6321,Organica,12000,,Estiercol,,NA,NA,NA
3146,2803,8/21/2015,6322,Organica,12000,,Estiercol,,NA,NA,NA
3147,2804,8/17/2015,6323,Organica,12000,,Estiercol,,NA,NA,NA
3148,2805,8/21/2015,6357,Organica,12000,,Estiercol,,NA,NA,NA
3157,2823,8/30/2015,6358,Organica,13500,,Estiercol,,NA,NA,NA
3158,2824,8/15/2015,6360,Organica,12000,,Estiercol,,NA,NA,NA
3159,2824,8/19/2015,6362,Organica,12000,,Estiercol,,NA,NA,NA
3160,2825,8/15/2015,6364,Organica,18000,,Estiercol,,NA,NA,NA
3164,2827,8/15/2015,6373,Organica,12000,,Estiercol,,NA,NA,NA
3256,2892,8/20/2015,6572,Organica,12000,,Estiercol,,NA,NA,NA
3257,2893,8/22/2015,6575,Organica,12000,,Estiercol,,NA,NA,NA
3258,2895,8/20/2015,6576,Organica,12000,,Estiercol,,NA,NA,NA
3259,2893,8/24/2015,6577,Organica,12000,,Estiercol,,NA,NA,NA
3260,2895,8/22/2015,6578,Organica,12000,,Estiercol,,NA,NA,NA
3261,2896,8/27/2015,6579,Organica,9000,,Estiercol,,NA,NA,NA
3262,2896,8/28/2015,6581,Organica,9000,,Estiercol,,NA,NA,NA
3263,2897,8/20/2015,6583,Organica,12000,,Estiercol,,NA,NA,NA
3264,2897,8/22/2015,6584,Organica,12000,,Estiercol,,NA,NA,NA
3265,2900,8/21/2015,6585,Organica,12600,,Estiercol,,NA,NA,NA
3266,2900,8/20/2015,6587,Organica,13500,,Estiercol,,NA,NA,NA
3281,2899,8/20/2015,6612,Organica,12000,,Estiercol,,NA,NA,NA
3282,2899,9/26/2015,6613,Organica,10500,,Estiercol,,NA,NA,NA
3350,2943,5/17/2016,7902,Organica,400,,Pollinaza/Gallinaza,,NA,NA,NA
3353,3049,3/04/2016,6748,Organica,600,,Compost,,NA,NA,NA
3353,3049,3/24/2016,6749,Organica,15,,Otro,,NA,NA,NA
3383,3386,12/04/2015,6837,Organica,1000,,Pollinaza/Gallinaza,,NA,NA,NA
3411,3436,3/28/2016,6864,Organica,40,,Compost,,NA,NA,NA
3411,3436,4/19/2016,6866,Organica,40,,Compost,,NA,NA,NA
3415,3437,4/01/2016,6869,Organica,40,,Compost,,NA,NA,NA
3416,3438,4/02/2016,6873,Organica,40,,Compost,,NA,NA,NA
3417,3439,4/23/2016,6877,Organica,40,,Compost,,NA,NA,NA
3418,3440,4/03/2016,6879,Organica,40,,Compost,,NA,NA,NA
3420,3441,4/23/2016,6885,Organica,40,,Compost,,NA,NA,NA
3421,3442,4/05/2016,6887,Organica,40,,Compost,,NA,NA,NA
3422,3443,4/07/2016,6890,Organica,40,,Compost,,NA,NA,NA
3424,3445,3/28/2016,6896,Organica,40,,Compost,,NA,NA,NA
3426,3447,5/30/2016,6902,Organica,40,,Compost,,NA,NA,NA
3427,3448,3/28/2016,6905,Organica,40,,Compost,,NA,NA,NA
3428,3455,3/28/2016,6908,Organica,40,,Compost,,NA,NA,NA
3428,3455,4/18/2016,6909,Organica,40,,Compost,,NA,NA,NA
3431,3456,3/28/2016,6914,Organica,40,,Compost,,NA,NA,NA
3431,3456,4/18/2016,6915,Organica,40,,Compost,,NA,NA,NA
3433,3458,4/04/2016,6920,Organica,40,,Compost,,NA,NA,NA
3434,3459,4/05/2016,6923,Organica,40,,Compost,,NA,NA,NA
3434,3459,4/25/2016,6924,Organica,40,,Compost,,NA,NA,NA
3437,3461,3/29/2016,6935,Organica,40,,Compost,,NA,NA,NA
3439,3464,3/30/2016,6941,Organica,40,,Compost,,NA,NA,NA
3440,3465,4/18/2016,6945,Organica,40,,Compost,,NA,NA,NA
3441,3466,3/30/2016,6947,Organica,40,,Compost,,NA,NA,NA
3452,3472,3/30/2016,7003,Organica,40,,Compost,,NA,NA,NA
3455,3474,3/28/2016,7017,Organica,40,,Compost,,NA,NA,NA
3462,3479,3/28/2016,7034,Organica,40,,Compost,,NA,NA,NA
3485,3496,4/02/2016,7066,Organica,40,,Compost,,NA,NA,NA
3486,3497,3/31/2016,7069,Organica,40,,Compost,,NA,NA,NA
3489,3500,4/20/2016,7079,Organica,40,,Compost,,NA,NA,NA
3490,3501,4/18/2016,7082,Organica,40,,Compost,,NA,NA,NA
3548,2945,4/07/2016,7236,Organica,200,,Otro,,NA,NA,NA
3583,3580,4/16/2016,7340,Organica,40,,Compost,,NA,NA,NA
3599,3581,4/01/2016,7349,Organica,40,,Compost,,NA,NA,NA
3628,3598,4/04/2016,7438,Organica,40,,Compost,,NA,NA,NA
3647,3602,3/28/2016,7462,Organica,40,,Otro,,NA,NA,NA
3650,3603,3/31/2016,7468,Organica,40,,Compost,,NA,NA,NA
3671,3615,3/28/2016,7538,Organica,40,,Compost,,NA,NA,NA
3675,3619,3/30/2016,7549,Organica,40,,Compost,,NA,NA,NA
3677,3622,3/23/2016,8373,Organica,40,,Compost,,NA,NA,NA
3683,3643,3/28/2016,7567,Organica,40,,Compost,,NA,NA,NA
3684,3644,4/02/2016,7570,Organica,40,,Compost,,NA,NA,NA
3687,3651,4/02/2016,7579,Organica,40,,Compost,,NA,NA,NA
3721,3764,4/04/2016,7644,Organica,40,,Compost,,NA,NA,NA
3752,3798,3/28/2016,7724,Organica,40,,Compost,,NA,NA,NA
3801,3462,3/28/2016,7836,Organica,40,,Compost,,NA,NA,NA
3973,4457,3/29/2016,8157,Organica,40,,Compost,,NA,NA,NA
4317,3611,3/29/2016,8378,Organica,40,,Compost,,NA,NA,NA
4329,3596,3/28/2016,8402,Organica,40,,Compost,,NA,NA,NA
4493,3427,4/08/2016,9008,Organica,1000,,Gallinaza enriquecida,,NA,NA,NA
4493,3427,4/08/2016,9008,Organica,500,,Gallinaza enriquecida,,NA,NA,NA
4592,4699,3/19/2016,9225,Organica,200,,Compost,,NA,NA,NA
4684,4681,5/12/2016,9549,Organica,200,,Compost,,NA,NA,NA
4685,4699,3/10/2016,9565,Organica,250,,Lombri compost,,NA,NA,NA
4696,4857,4/24/2016,9676,Organica,200,,Compost,,NA,NA,NA
4697,4850,5/11/2016,10228,Organica,200,,Compost,,NA,NA,NA
4734,4853,4/17/2016,10162,Organica,100,,Compost,,NA,NA,NA
4735,4854,5/06/2016,10163,Organica,100,,Compost,,NA,NA,NA
4737,4700,5/29/2016,10241,Organica,200,,Lombri compost,,NA,NA,NA
629,549,10/19/2013,666,Quimica,300,10|30|10,,,10,30,10
731,632,3/20/2014,891,Quimica,150,10|30|10,,,10,30,10
745,629,3/26/2014,935,Quimica,150,10|30|10,,,10,30,10
873,873,2/20/2014,1191,Quimica,225,10|30|10,,,10,30,10
876,874,2/20/2014,1195,Quimica,225,10|30|10,,,10,30,10
883,871,2/18/2014,1205,Quimica,200,10|30|10,,,10,30,10
884,872,2/20/2014,1209,Quimica,225,10|30|10,,,10,30,10
1867,1685,4/02/2015,3222,Quimica,400,10|30|10,,,10,30,10
2187,2076,3/15/2015,3851,Quimica,150,10|30|10,,,10,30,10
2187,2076,4/15/2015,4340,Quimica,125,10|30|10,,,10,30,10
2341,2217,3/30/2015,4221,Quimica,200,10|30|10,,,10,30,10
2341,2217,4/10/2015,4222,Quimica,150,10|30|10,,,10,30,10
2344,2256,4/20/2015,4230,Quimica,150,10|30|10,,,10,30,10
2345,2256,4/21/2015,4233,Quimica,150,10|30|10,,,10,30,10
2346,2256,4/22/2015,4237,Quimica,150,10|30|10,,,10,30,10
2399,2297,4/24/2015,4302,Quimica,200,10|30|10,,,10,30,10
2399,2297,5/21/2015,4303,Quimica,200,10|30|10,,,10,30,10
2402,2299,5/14/2015,4313,Quimica,100,10|30|10,,,10,30,10
2405,2321,4/20/2015,4321,Quimica,150,10|30|10,,,10,30,10
2405,2321,4/30/2015,4322,Quimica,150,10|30|10,,,10,30,10
2405,2321,5/10/2015,4323,Quimica,150,10|30|10,,,10,30,10
2429,2041,4/05/2015,4329,Quimica,150,10|30|10,,,10,30,10
2445,2218,4/19/2015,4356,Quimica,150,10|30|10,,,10,30,10
2445,2218,4/30/2015,4357,Quimica,175,10|30|10,,,10,30,10
2478,2369,4/12/2015,4440,Quimica,150,10|30|10,,,10,30,10
2496,2370,4/01/2015,4462,Quimica,75,10|30|10,,,10,30,10
2505,2219,4/12/2015,4490,Quimica,50,10|30|10,,,10,30,10
2532,2391,5/18/2015,4569,Quimica,50,10|30|10,,,10,30,10
2532,2391,5/28/2015,4570,Quimica,50,10|30|10,,,10,30,10
2532,2391,6/08/2015,4571,Quimica,50,10|30|10,,,10,30,10
2532,2391,6/23/2015,4572,Quimica,50,10|30|10,,,10,30,10
2533,1869,4/10/2015,4574,Quimica,50,10|30|10,,,10,30,10
2533,1869,4/20/2015,4575,Quimica,50,10|30|10,,,10,30,10
2533,1869,5/05/2015,4576,Quimica,50,10|30|10,,,10,30,10
2533,1869,5/20/2015,5524,Quimica,50,10|30|10,,,10,30,10
2537,1869,4/24/2015,4589,Quimica,100,10|30|10,,,10,30,10
2537,1869,5/04/2015,4590,Quimica,100,10|30|10,,,10,30,10
2537,1869,5/19/2015,4591,Quimica,100,10|30|10,,,10,30,10
2537,1869,6/04/2015,4592,Quimica,100,10|30|10,,,10,30,10
2555,2369,3/17/2015,4607,Quimica,150,10|30|10,,,10,30,10
2593,2406,6/05/2015,4706,Quimica,150,10|30|10,,,10,30,10
2599,2321,5/01/2015,4704,Quimica,150,10|30|10,,,10,30,10
2600,2369,4/07/2015,4711,Quimica,150,10|30|10,,,10,30,10
2601,2410,3/23/2015,4714,Quimica,150,10|30|10,,,10,30,10
2601,2410,4/30/2015,4716,Quimica,100,10|30|10,,,10,30,10
2627,2406,6/05/2015,4793,Quimica,175,10|30|10,,,10,30,10
2649,2424,3/28/2015,4895,Quimica,200,10|30|10,,,10,30,10
2682,2406,6/05/2015,5048,Quimica,150,10|30|10,,,10,30,10
2770,2489,4/17/2015,5381,Quimica,200,10|30|10,,,10,30,10
2779,2497,10/06/2015,5503,Quimica,120,10|30|10,,,10,30,10
2788,2453,10/14/2015,5512,Quimica,50,10|30|10,,,10,30,10
2815,1858,4/10/2015,5557,Quimica,175,10|30|10,,,10,30,10
2849,2563,12/01/2015,5779,Quimica,500,10|30|10,,,10,30,10
2861,2572,10/30/2015,5685,Quimica,7,5,10|30|10,,,10,30,10
2868,2579,11/06/2015,5700,Quimica,50,10|30|10,,,10,30,10
2882,757,9/15/2015,6090,Quimica,252,10|30|10,,,10,30,10
3185,2843,10/10/2015,6426,Quimica,100,10|30|10,,,10,30,10
3489,3500,3/31/2016,7078,Quimica,100,10|30|10,,,10,30,10
3557,3004,3/24/2016,7250,Quimica,100,10|30|10,,,10,30,10
3558,3003,3/21/2016,7254,Quimica,100,10|30|10,,,10,30,10
3564,3006,2/26/2016,7277,Quimica,250,10|30|10,,,10,30,10
3604,2978,3/13/2016,7363,Quimica,200,10|30|10,,,10,30,10
3613,3004,3/21/2016,7395,Quimica,100,10|30|10,,,10,30,10
3622,3011,3/18/2016,7424,Quimica,250,10|30|10,,,10,30,10
3827,3870,4/04/2016,7894,Quimica,50,10|30|10,,,10,30,10
3845,3881,4/14/2016,7929,Quimica,100,10|30|10,,,10,30,10
3846,3882,4/20/2016,7931,Quimica,100,10|30|10,,,10,30,10
3904,4410,4/14/2016,8034,Quimica,100,10|30|10,,,10,30,10
4145,3385,3/25/2016,8207,Quimica,175,10|30|10,,,10,30,10
4146,3385,3/16/2016,8210,Quimica,175,10|30|10,,,10,30,10
4711,4624,2/17/2016,9585,Quimica,250,10|30|10,,,10,30,10
4712,4673,3/09/2016,9588,Quimica,250,10|30|10,,,10,30,10
4733,4856,4/22/2016,10161,Quimica,50,10|30|10,,,10,30,10
4689,4633,4/03/2016,9559,Quimica,250,11|25|14,,,11,25,14
4686,4627,3/14/2016,9550,Quimica,250,12|18|12,,,12,18,12
3581,2970,2/13/2016,7334,Quimica,150,12|28|12,,,12,28,12
4681,4666,2/23/2016,9541,Quimica,250,12|28|12,,,12,28,12
4709,4636,4/03/2016,9579,Quimica,250,12|28|12,,,12,28,12
776,740,3/15/2014,989,Quimica,250,13|26|10|3,,,13,26,10
1014,948,3/30/2014,1362,Quimica,175,13|26|6,,,13,26,6
1026,234,9/10/2014,1390,Quimica,150,13|26|6,,,13,26,6
2811,2531,4/15/2015,5547,Quimica,200,13|26|6,,,13,26,6
2870,2592,11/05/2015,5701,Quimica,300,13|26|6,,,13,26,6
3075,156,4/02/2015,6194,Quimica,50,13|26|6,,,13,26,6
3607,3001,4/05/2016,7372,Quimica,150,13|26|6,,,13,26,6
4287,4509,3/24/2016,8300,Quimica,200,13|26|6,,,13,26,6
4717,4667,4/24/2017,9666,Quimica,250,13|26|6,,,13,26,6
4719,4642,3/16/2016,9721,Quimica,250,13|26|6,,,13,26,6
855,862,6/07/2014,1171,Quimica,380,16|16|16,,,16,16,16
3500,3454,4/17/2016,7091,Quimica,100,17|18|2,,,17,18,2
3501,3454,4/11/2016,7092,Quimica,100,17|18|2,,,17,18,2
4691,4851,6/08/2016,9566,Quimica,150,17|6|18|2,,,17,6,18
4691,4851,6/29/2016,9567,Quimica,150,17|6|18|2,,,17,6,18
3446,3450,7/28/2016,9092,Quimica,200,17|6|18|2,,,17,6,18
4372,3425,3/28/2016,8524,Quimica,150,17|6|18|2,,,17,6,18
4372,3425,4/23/2016,8525,Quimica,150,17|6|18|2,,,17,6,18
693,687,3/28/2014,942,Quimica,150,18|18|18,,,18,18,18
2881,2594,10/03/2015,6031,Quimica,312,20|0|30,,,20,0,30
4649,4849,3/20/2016,9529,Quimica,50,21|0|0|24,,,21,0,0
4678,4848,3/17/2016,9535,Quimica,50,21|0|0|24,,,21,0,0
4168,3094,4/10/2016,8263,Quimica,250,23|0|30,,,23,0,30
4169,3094,4/14/2016,8266,Quimica,250,23|0|30,,,23,0,30
4145,3385,4/12/2016,8208,Quimica,250,23|4|21,,,23,4,21
4145,3385,4/25/2016,8209,Quimica,250,23|4|21,,,23,4,21
4146,3385,4/14/2016,8211,Quimica,250,23|4|21,,,23,4,21
4146,3385,4/27/2016,8212,Quimica,250,23|4|21,,,23,4,21
3470,2986,4/10/2016,7062,Quimica,250,24|4|24,,,25,4,24
4682,4682,6/19/2016,9545,Quimica,100,24|4|24,,,24,4,24
4695,4693,9/15/2016,9664,Quimica,50,24|4|24,,,24,4,24
3444,3424,7/15/2016,6974,Quimica,200,25|4|20,,,25,4,20
3444,3424,8/14/2016,8933,Quimica,100,25|4|20|2,,,25,4,20
3974,3384,4/01/2016,8160,Quimica,200,25|4|24,,,25,4,24
3974,3384,4/21/2016,8161,Quimica,200,25|4|24,,,25,4,24
3974,3384,5/15/2016,8162,Quimica,50,25|4|24,,,25,4,24
3982,4512,4/05/2016,8185,Quimica,200,25|4|24,,,25,4,24
3982,4512,4/20/2016,8186,Quimica,250,25|4|24,,,25,4,24
4646,4852,5/10/2016,9402,Quimica,50,25|4|24,,,25,4,24
4717,4667,5/14/2016,9669,Quimica,250,25|4|24,,,25,4,24
1130,1070,4/16/2014,1607,Quimica,25,25|4|24,,,25,4,24
1775,539,12/26/2014,2863,Quimica,187,5,25|4|24,,,25,4,24
1775,539,1/12/2015,2864,Quimica,187,5,25|4|24,,,25,4,24
3513,2995,3/27/2016,7102,Quimica,150,25|4|24,,,25,4,24
3513,2995,4/07/2016,7103,Quimica,150,25|4|24,,,25,4,24
3516,3036,3/20/2016,7117,Quimica,250,25|4|24,,,25,4,24
3517,2962,4/08/2016,7120,Quimica,250,25|4|24,,,25,4,24
3517,2962,4/18/2016,7121,Quimica,250,25|4|24,,,25,4,24
3518,2961,4/23/2016,7124,Quimica,250,25|4|24,,,25,4,24
3518,2961,5/01/2016,7125,Quimica,250,25|4|24,,,25,4,24
3519,2953,4/21/2016,7128,Quimica,250,25|4|24,,,25,4,24
3520,3009,3/22/2016,7131,Quimica,250,25|4|24,,,25,4,24
3520,3009,4/09/2016,7132,Quimica,250,25|4|24,,,25,4,24
3524,2956,2/28/2016,7142,Quimica,250,25|4|24,,,25,4,24
3524,2956,3/13/2016,7143,Quimica,250,25|4|24,,,25,4,24
3524,2956,3/28/2016,7144,Quimica,250,25|4|24,,,25,4,24
3528,2956,2/29/2016,7153,Quimica,250,25|4|24,,,25,4,24
3528,2956,3/14/2016,7154,Quimica,250,25|4|24,,,25,4,24
3528,2956,3/29/2016,7155,Quimica,250,25|4|24,,,25,4,24
3529,2951,4/27/2016,7159,Quimica,200,25|4|24,,,25,4,24
3530,2951,4/09/2016,7163,Quimica,200,25|4|24,,,25,4,24
3532,2986,4/12/2016,7169,Quimica,250,25|4|24,,,25,4,24
3533,2987,4/15/2016,7172,Quimica,200,25|4|24,,,25,4,24
3534,3048,4/20/2016,7175,Quimica,200,25|4|24,,,25,4,24
3535,2967,3/16/2016,7177,Quimica,200,25|4|24,,,25,4,24
3535,2967,4/02/2016,7178,Quimica,250,25|4|24,,,25,4,24
3536,3036,4/05/2016,7182,Quimica,250,25|4|24,,,25,4,24
3537,3039,5/02/2016,7185,Quimica,50,25|4|24,,,25,4,24
3537,3039,5/11/2016,7186,Quimica,200,25|4|24,,,25,4,24
3538,3041,2/20/2016,7189,Quimica,50,25|4|24,,,25,4,24
3538,3041,3/01/2016,7190,Quimica,200,25|4|24,,,25,4,24
3541,3039,5/01/2016,7199,Quimica,50,25|4|24,,,25,4,24
3541,3039,5/11/2016,7200,Quimica,200,25|4|24,,,25,4,24
3542,2956,3/24/2016,7202,Quimica,250,25|4|24,,,25,4,24
3542,2956,4/09/2016,7203,Quimica,250,25|4|24,,,25,4,24
3543,2969,3/25/2016,7207,Quimica,250,25|4|24,,,25,4,24
3545,2969,3/29/2016,7215,Quimica,250,25|4|24,,,25,4,24
3546,3013,3/10/2016,7217,Quimica,250,25|4|24,,,25,4,24
3547,3016,3/18/2016,7220,Quimica,200,25|4|24,,,25,4,24
3547,3016,4/13/2016,7221,Quimica,200,25|4|24,,,25,4,24
3547,3016,5/08/2016,7222,Quimica,200,25|4|24,,,25,4,24
3550,2967,3/14/2016,7225,Quimica,200,25|4|24,,,25,4,24
3550,2967,3/29/2016,7226,Quimica,250,25|4|24,,,25,4,24
3550,2967,4/18/2016,7227,Quimica,250,25|4|24,,,25,4,24
3551,2954,4/01/2016,7228,Quimica,200,25|4|24,,,25,4,24
3551,2954,4/20/2016,7229,Quimica,200,25|4|24,,,25,4,24
3551,2954,5/04/2016,7230,Quimica,200,25|4|24,,,25,4,24
3552,3003,3/24/2016,7231,Quimica,200,25|4|24,,,25,4,24
3552,3003,4/13/2016,7232,Quimica,200,25|4|24,,,25,4,24
3552,3003,4/27/2016,7233,Quimica,200,25|4|24,,,24,4,24
3553,3046,4/04/2016,7240,Quimica,300,25|4|24,,,25,4,24
3555,2952,3/27/2016,7243,Quimica,250,25|4|24,,,25,4,24
3556,2990,3/04/2016,7247,Quimica,200,25|4|24,,,25,4,24
3556,2990,3/19/2016,7248,Quimica,250,25|4|24,,,25,4,24
3556,2990,4/14/2016,7249,Quimica,100,25|4|24,,,25,4,24
3557,3004,4/26/2016,7252,Quimica,300,25|4|24,,,25,4,24
3558,3003,4/26/2016,7256,Quimica,300,25|4|24,,,25,4,24
3561,2988,4/18/2016,7268,Quimica,250,25|4|24,,,25,4,24
3562,3016,3/18/2016,7270,Quimica,200,25|4|24,,,25,4,24
3562,3016,4/15/2016,7271,Quimica,200,25|4|24,,,25,4,24
3562,3016,5/10/2016,7272,Quimica,200,25|4|24,,,25,4,24
3563,2999,5/08/2016,7275,Quimica,250,25|4|24,,,25,4,24
3564,3006,3/11/2016,7278,Quimica,200,25|4|24,,,25,4,24
3564,3006,3/26/2016,7279,Quimica,250,25|4|24,,,25,4,24
3565,3007,4/04/2016,7282,Quimica,300,25|4|24,,,25,4,24
3567,2971,4/02/2016,7287,Quimica,150,25|4|24,,,25,4,24
3567,2971,4/17/2016,7288,Quimica,250,25|4|24,,,25,4,24
3568,3005,4/14/2016,7292,Quimica,250,25|4|24,,,25,4,24
3569,2994,3/09/2016,7293,Quimica,150,25|4|24,,,25,4,24
3570,2974,2/28/2016,7297,Quimica,250,25|4|24,,,25,4,24
3573,2979,4/09/2016,7306,Quimica,300,25|4|24,,,25,4,24
3573,2979,4/25/2016,7307,Quimica,300,25|4|24,,,25,4,24
3574,3034,3/23/2016,7309,Quimica,200,25|4|24,,,25,4,24
3574,3034,4/03/2016,7310,Quimica,200,25|4|24,,,25,4,24
3574,3034,4/13/2016,7311,Quimica,200,25|4|24,,,25,4,24
3575,2985,4/17/2016,7314,Quimica,250,25|4|24,,,25,4,24
3577,2991,3/20/2016,7320,Quimica,50,25|4|24,,,25,4,24
3577,2991,4/30/2016,7321,Quimica,50,25|4|24,,,25,4,24
3578,3002,3/24/2016,7323,Quimica,100,25|4|24,,,25,4,24
3578,3002,4/04/2016,7324,Quimica,100,25|4|24,,,25,4,24
3578,3002,4/14/2016,7325,Quimica,100,25|4|24,,,25,4,24
3581,2970,4/04/2016,7336,Quimica,300,25|4|24,,,24,4,25
3582,2989,3/31/2016,7339,Quimica,250,25|4|24,,,25,4,24
3602,2995,3/26/2016,7355,Quimica,150,25|4|24,,,25,4,24
3602,2995,4/06/2016,7356,Quimica,150,25|4|24,,,25,4,24
3605,3045,3/03/2016,7366,Quimica,200,25|4|24,,,25,4,24
3605,3045,3/18/2016,7367,Quimica,200,25|4|24,,,25,4,24
3605,3045,4/08/2016,7368,Quimica,250,25|4|24,,,25,4,24
3606,3047,3/21/2016,7370,Quimica,250,25|4|24,,,25,4,24
3606,3047,4/07/2016,7371,Quimica,250,25|4|24,,,25,4,24
3607,3001,5/15/2016,7375,Quimica,250,25|4|24,,,25,4,24
3610,2955,4/09/2016,7384,Quimica,250,25|4|24,,,25,4,24
3610,2955,5/02/2016,7385,Quimica,250,25|4|24,,,25,4,24
3610,2955,5/14/2016,7386,Quimica,250,25|4|24,,,25,4,24
3611,2966,4/10/2016,7390,Quimica,250,25|4|24,,,25,4,24
3612,2962,4/19/2016,7394,Quimica,250,25|4|24,,,25,4,24
3614,2984,3/31/2016,7401,Quimica,250,25|4|24,,,25,4,24
3615,3013,3/03/2016,7403,Quimica,250,25|4|24,,,25,4,24
3619,2965,3/29/2016,7412,Quimica,200,25|4|24,,,25,4,24
3619,2965,4/14/2016,7413,Quimica,300,25|4|24,,,25,4,24
3620,2981,3/29/2016,7420,Quimica,250,25|4|24,,,25,4,24
3621,3008,4/15/2016,7423,Quimica,250,25|4|24,,,25,4,24
3622,3011,4/08/2016,7426,Quimica,250,25|4|24,,,25,4,24
3624,3014,3/17/2016,7429,Quimica,200,25|4|24,,,25,4,24
3624,3014,4/02/2016,7430,Quimica,200,25|4|24,,,25,4,24
3625,3014,3/27/2016,7432,Quimica,200,25|4|24,,,25,4,24
3625,3014,4/14/2016,7433,Quimica,200,25|4|24,,,25,4,24
