ID_EVENTO,ID_LOTE,ID_FINCA,ID_PROD,FECHA_SIEMBRA,LAT_LOTE,LONG_LOTE,FECHA_EMERGENCIA,FECHA_FLORACION,FECHA_COSECHA,DEPARTAMENTO,MUNICIPIO,PROD_COSECHADO,RDT_AJUSTADO
4335,4082,4265,2286,2016-05-10,9.14743319,-75.80128,2016-05-14,2016-06-30,2016-09-19,CORDOBA,LORICA,Grano seco,6006.976744186047
4336,4091,4256,2088,2016-05-10,9.13726436,-75.81087125,2016-05-14,2016-06-30,2016-09-20,CORDOBA,LORICA,Grano seco,5148.837209302325
4337,4112,4353,2444,2016-05-10,8.2891,-76.15487,2016-05-15,2016-06-30,2016-09-20,CORDOBA,VALENCIA,Grano seco,5787.209302325581
4341,4127,4357,4705,2016-04-29,8.889585,-75.714005,2016-05-04,2016-06-20,2016-09-14,CORDOBA,CIENAGA DE ORO,Grano seco,6593.023255813953
4343,4129,4359,4622,2016-05-15,8.989001762,-75.72211544,2016-05-20,2016-07-05,2016-09-28,CORDOBA,CHIMA,Grano seco,6246.511627906976
4352,4135,4361,4622,2016-05-11,8.994331,-75.722201,2016-05-16,2016-07-01,2016-09-23,CORDOBA,CHIMA,Grano seco,6232.558139534884
4354,4136,4362,3795,2016-05-03,8.096087,-76.14179,2016-05-08,2016-06-25,2016-09-18,CORDOBA,TIERRALTA,Grano seco,3767.4418604651164
4355,4137,4363,1972,2016-06-18,8.879417,-75.765908,2016-06-23,2016-08-08,2016-10-25,CORDOBA,CERETE,Grano seco,5327.906976744186
4359,4141,4368,1921,2016-05-06,8.901361,-75.783428,2016-05-11,2016-06-26,2016-09-22,CORDOBA,CERETE,Grano seco,6046.511627906977
4362,4144,4371,1842,2016-05-04,8.954833,-75.7925,2016-05-09,2016-06-24,2016-09-18,CORDOBA,SAN PELAYO,Grano seco,6232.558139534884
4366,4148,4374,1844,2016-05-10,8.940141,-75.769715,2016-05-15,2016-06-30,2016-09-25,CORDOBA,CERETE,Grano seco,6046.511627906977
4369,4174,4401,1843,2016-05-07,8.936024,-75.770502,2016-05-12,2016-06-27,2016-09-23,CORDOBA,CERETE,Grano seco,6232.558139534884
4370,4183,4410,1922,2016-05-21,8.958643,-75.79405,2016-05-26,2016-07-11,2016-09-28,CORDOBA,SAN PELAYO,Grano seco,6046.511627906977
4375,4186,4414,1841,2016-04-30,8.951455,-75.801218,2016-05-04,2016-06-20,2016-09-15,CORDOBA,SAN PELAYO,Grano seco,6122.093023255814
4376,4187,4415,2848,2016-05-10,9.021033,-75.710907,2016-05-15,2016-06-30,2016-09-28,CORDOBA,CHIMA,Grano seco,5180.232558139535
4377,4188,4416,2848,2016-05-01,9.073034,-75.716046,2016-05-06,2016-06-21,2016-09-27,CORDOBA,CHIMA,Grano seco,5839.53488372093
4378,4189,4417,2843,2016-04-27,9.071846,-75.713631,2016-05-02,2016-06-18,2016-09-23,CORDOBA,CHIMA,Grano seco,5839.53488372093
4379,4190,4418,2843,2016-04-25,9.06827,-75.714704,2016-04-30,2016-06-16,2016-09-24,CORDOBA,CHIMA,Grano seco,6027.906976744186
4380,4191,4419,2843,2016-05-06,9.054167,-75.721013,2016-05-11,2016-06-26,2016-10-01,CORDOBA,CHIMA,Grano seco,6046.511627906977
4381,4192,4420,2843,2016-04-24,9.073127,-75.916416,2016-04-29,2016-06-14,2016-09-23,CORDOBA,CHIMA,Grano seco,5745.3488372093025
4382,4193,4421,2847,2016-05-07,9.05585,-75.722148,2016-05-12,2016-06-27,2016-10-03,CORDOBA,CHIMA,Grano seco,5860.46511627907
4383,4194,4422,2847,2016-05-07,9.052141,-75.724108,2016-05-12,2016-06-28,2016-10-04,CORDOBA,CHIMA,Grano seco,5767.441860465116
4384,4195,4423,2870,2016-05-10,9.021597,-75.710485,2016-05-15,2016-06-30,2016-09-28,CORDOBA,CHIMA,Grano seco,5462.790697674419
4385,4196,4424,2869,2016-05-11,9.022286,-75.713118,2016-05-16,2016-07-02,2016-09-20,CORDOBA,CHIMA,Grano seco,5180.232558139535
4386,4197,4425,2869,2016-05-09,9.018301,-75.713134,2016-05-14,2016-06-30,2016-09-20,CORDOBA,CHIMA,Grano seco,5180.232558139535
4387,4198,4426,2869,2016-05-09,9.020698,-75.70743,2016-05-14,2016-06-30,2016-08-21,CORDOBA,CHIMA,Grano seco,4897.674418604651
4388,4199,4427,2848,2016-04-29,9.075981,-75.710125,2016-05-04,2016-06-19,2016-09-29,CORDOBA,CHIMA,Grano seco,5953.488372093023
4389,4200,4428,2848,2016-05-04,9.01545,-75.731017,2016-05-09,2016-06-25,2016-10-02,CORDOBA,SAN PELAYO,Grano seco,5651.162790697675
4390,4201,4429,2696,2016-05-12,9.057902,-75.720835,2016-05-17,2016-07-02,2016-09-21,CORDOBA,CHIMA,Grano seco,6122.093023255814
4391,4202,4430,2696,2016-05-06,9.053972,-75.712874,2016-05-11,2016-06-26,2016-09-21,CORDOBA,CHIMA,Grano seco,6122.093023255814
4392,4203,4431,2696,2016-05-12,9.058583,-75.721932,2016-05-17,2016-07-03,2016-09-20,CORDOBA,CHIMA,Grano seco,5933.720930232558
