ID_EVENTO,ID_LOTE,FECHA_SIEMBRA,FECHA_EMERGENCIA,FECHA_COSECHA,FECHA_FLORACION
3943,3748,2016-05-04,2016-05-09,2016-09-15,2016-06-27
3944,3749,2016-05-10,2016-05-14,2016-09-21,2016-07-01
3945,3751,2016-05-05,2016-05-09,2016-09-20,2016-06-27
3946,3752,2016-05-10,2016-05-14,2016-09-29,2016-06-30
3957,3753,2016-05-15,2016-05-19,2016-10-07,2016-07-05
3958,3754,2016-05-16,2016-05-20,2016-10-05,2016-07-06
3960,3755,2016-05-12,2016-05-16,2016-10-07,2016-07-01
3961,3756,2016-05-08,2016-05-12,2016-09-20,2016-06-28
3963,3757,2016-05-06,2016-05-10,2016-09-13,2016-06-27
3981,3828,2016-05-07,2016-05-12,2016-09-18,2016-06-27
3983,3830,2016-05-04,2016-05-09,2016-09-20,2016-06-24
3984,3831,2016-05-04,2016-05-09,2016-09-19,2016-06-25
4153,3922,2016-05-07,2016-05-11,2016-09-13,2016-06-27
4155,3923,2016-05-07,2016-05-11,2016-09-28,2016-06-28
4156,3924,2016-05-06,2016-05-10,2016-09-13,2016-06-27
4157,3925,2016-05-05,2016-05-10,2016-09-14,2016-06-27
4158,3926,2016-05-04,2016-05-08,2016-09-12,2016-06-25
4159,3927,2016-05-04,,2016-09-14,
4161,3928,2016-05-06,2016-05-10,2016-09-19,2016-06-26
4162,3929,2016-05-10,2016-05-15,2016-09-20,2016-07-01
4163,3930,2016-05-07,2016-05-11,2016-09-13,2016-07-02
4164,3931,2016-05-05,2016-05-09,2016-09-13,2016-06-25
4165,3932,2016-05-06,2016-05-10,2016-09-10,2016-06-26
4166,3934,2016-05-03,2016-05-07,2016-09-12,2016-06-24
4167,3933,2016-05-10,2016-05-14,2016-09-22,2016-06-29
4230,3935,2016-05-05,2016-05-09,2016-09-12,2016-06-25
4236,3936,2016-05-12,2016-05-17,2016-09-27,2016-07-03
4237,3937,2016-05-15,2016-05-20,2016-10-04,2016-07-06
4238,3938,2016-05-12,2016-05-17,2016-09-27,2016-07-03
4243,3939,2016-05-06,2016-05-10,2016-09-19,2016-06-27
4249,4028,2016-05-10,2016-05-15,2016-09-22,2016-06-29
4250,4029,2016-05-10,2016-05-15,2016-09-22,2016-06-30
4251,4030,2016-05-09,2016-05-14,2016-09-24,2016-06-29
4252,4031,2016-05-15,2016-05-20,2016-09-27,2016-07-05
4276,3947,2016-05-06,2016-05-10,2016-09-26,2016-06-28
4277,3942,2016-05-17,2016-05-21,2016-09-26,2016-07-08
4291,3946,2016-05-16,2016-05-19,2016-09-29,2016-07-05
4299,3945,2016-05-10,2016-05-14,2016-09-19,2016-06-30
4300,3944,2016-05-05,2016-05-09,2016-09-19,2016-06-25
4301,3943,2016-05-12,2016-05-15,2016-09-19,2016-07-02
4302,3941,2016-05-16,2016-05-20,2016-09-26,2016-07-05
4303,3940,2016-05-16,2016-05-20,2016-09-19,2016-07-04
4316,4083,2016-05-15,2016-05-19,2016-10-05,2016-07-06
4323,4087,2016-05-22,2016-05-26,2016-10-06,2016-07-13
4324,4084,2016-05-25,2016-05-29,2016-10-10,2016-07-14
4325,4085,2016-05-24,2016-05-28,2016-10-11,2016-07-14
4326,4088,2016-05-18,2016-05-22,2016-10-03,2016-07-08
4327,4086,2016-05-17,2016-05-21,2016-09-29,2016-07-04
4328,4092,2016-05-12,2016-05-16,2016-09-19,2016-07-03
4330,4089,2016-05-16,2016-05-20,2016-09-29,2016-07-06
4331,4094,2016-05-17,2016-05-22,2016-10-06,2016-07-08
4332,4093,2016-05-22,2016-05-26,2016-10-03,2016-07-11
4333,4090,2016-05-09,2016-05-13,2016-09-19,2016-06-30
4335,4082,2016-05-10,2016-05-14,2016-09-19,2016-06-30
4336,4091,2016-05-10,2016-05-14,2016-09-20,2016-06-30
4337,4112,2016-05-10,2016-05-15,2016-09-20,2016-06-30
4341,4127,2016-04-29,2016-05-04,2016-09-14,2016-06-20
4343,4129,2016-05-15,2016-05-20,2016-09-28,2016-07-05
4352,4135,2016-05-11,2016-05-16,2016-09-23,2016-07-01
4354,4136,2016-05-03,2016-05-08,2016-09-18,2016-06-25
4355,4137,2016-06-18,2016-06-23,2016-10-25,2016-08-08
4359,4141,2016-05-06,2016-05-11,2016-09-22,2016-06-26
4362,4144,2016-05-04,2016-05-09,2016-09-18,2016-06-24
4366,4148,2016-05-10,2016-05-15,2016-09-25,2016-06-30
4369,4174,2016-05-07,2016-05-12,2016-09-23,2016-06-27
4370,4183,2016-05-21,2016-05-26,2016-09-28,2016-07-11
4375,4186,2016-04-30,2016-05-04,2016-09-15,2016-06-20
4376,4187,2016-05-10,2016-05-15,2016-09-28,2016-06-30
4377,4188,2016-05-01,2016-05-06,2016-09-27,2016-06-21
4378,4189,2016-04-27,2016-05-02,2016-09-23,2016-06-18
4379,4190,2016-04-25,2016-04-30,2016-09-24,2016-06-16
4380,4191,2016-05-06,2016-05-11,2016-10-01,2016-06-26
4381,4192,2016-04-24,2016-04-29,2016-09-23,2016-06-14
4382,4193,2016-05-07,2016-05-12,2016-10-03,2016-06-27
4383,4194,2016-05-07,2016-05-12,2016-10-04,2016-06-28
4384,4195,2016-05-10,2016-05-15,2016-09-28,2016-06-30
4385,4196,2016-05-11,2016-05-16,2016-09-20,2016-07-02
4386,4197,2016-05-09,2016-05-14,2016-09-20,2016-06-30
4387,4198,2016-05-09,2016-05-14,2016-08-21,2016-06-30
4388,4199,2016-04-29,2016-05-04,2016-09-29,2016-06-19
4389,4200,2016-05-04,2016-05-09,2016-10-02,2016-06-25
4390,4201,2016-05-12,2016-05-17,2016-09-21,2016-07-02
4391,4202,2016-05-06,2016-05-11,2016-09-21,2016-06-26
4392,4203,2016-05-12,2016-05-17,2016-09-20,2016-07-03
4414,4247,2016-05-12,2016-05-17,2016-09-22,2016-07-02
4417,4248,2016-05-12,,2016-09-20,
4419,4249,2016-05-08,2016-05-13,2016-09-20,2016-06-28
4421,4250,2016-05-08,2016-05-13,2016-09-18,2016-06-24
4429,4257,2016-05-06,2016-05-11,2016-09-17,2016-06-27
4430,4258,2016-05-14,2016-05-18,2016-09-26,2016-07-03
4431,4261,2016-05-12,2016-05-16,2016-09-20,2016-07-01
4432,4265,2016-05-06,2016-05-11,2016-09-15,2016-06-26
4433,4270,2016-05-05,2016-05-10,2016-09-12,2016-06-25
4434,4275,2016-05-05,2016-05-10,2016-09-12,2016-06-25
4435,4279,2016-05-04,2016-05-09,2016-09-18,2016-06-25
4436,4280,2016-05-16,2016-05-21,2016-09-30,2016-07-06
4437,4281,2016-05-06,2016-05-11,2016-09-20,2016-06-26
4438,4282,2016-05-17,2016-05-22,2016-10-01,2016-07-06
4439,4283,2016-05-05,2016-05-10,2016-09-18,2016-06-25
4440,4284,2016-05-06,2016-05-11,2016-09-14,2016-06-26
4441,4286,2016-05-04,2016-05-08,2016-09-16,2016-06-23
4443,4287,2016-05-05,2016-05-10,2016-09-17,2016-06-25
4444,4288,2016-05-02,2016-05-06,2016-09-14,2016-06-20
4445,4289,2016-05-08,2016-05-17,2016-09-22,2016-06-27
4500,4328,2016-05-07,2016-05-13,2016-09-18,2016-06-27
4501,4327,2016-05-19,2016-05-25,2016-09-30,2016-07-13
4502,4368,2016-05-18,2016-05-24,2016-10-07,2016-07-12
4503,4376,2016-05-07,2016-05-13,2016-09-18,2016-06-29
4504,4371,2016-05-17,2016-05-23,2016-09-23,2016-07-03
4505,4377,2016-05-20,2016-05-26,2016-10-04,2016-07-15
4506,4369,2016-05-16,2016-05-23,2016-09-24,2016-07-10
4507,4372,2016-05-17,2016-05-25,2016-09-30,2016-07-05
4508,4378,2016-05-05,2016-05-12,2016-09-20,2016-06-28
4509,4379,2016-05-25,2016-05-30,2016-10-05,2016-07-16
4510,4370,2016-05-16,2016-05-22,2016-10-02,2016-07-09
4511,4380,2016-05-22,2016-05-28,2016-10-03,2016-07-16
4512,4360,2016-05-23,2016-05-27,2016-10-18,2016-07-15
4513,4381,2016-05-20,2016-05-25,2016-09-24,2016-07-10
4514,4382,2016-05-21,2016-05-28,2016-10-18,2016-07-15
4515,4296,2016-05-15,2016-05-21,2016-09-29,2016-07-08
4517,4293,2016-05-23,2016-05-27,2016-09-30,2016-07-02
4526,4223,2016-05-08,2016-05-14,2016-09-23,2016-07-03
4530,4207,2016-05-12,2016-05-18,2016-09-25,2016-07-05
4537,4361,2016-05-28,2016-06-02,2016-10-13,2016-07-20
4538,4366,2016-05-20,2016-05-26,2016-09-28,2016-07-15
4541,4367,2016-05-18,2016-05-23,2016-10-06,2016-07-10
4543,4324,2016-05-15,2016-05-20,2016-09-29,2016-07-11
4544,4354,2016-05-22,2016-05-28,2016-10-04,2016-07-14
4546,4355,2016-05-19,2016-05-24,2016-10-03,2016-07-15
4547,4325,2016-05-06,2016-05-12,2016-09-24,2016-06-30
4548,4326,2016-05-19,2016-05-25,2016-10-05,2016-07-12
4551,4295,2016-05-15,2016-05-22,2016-09-23,2016-07-11
4554,4285,2016-05-28,2016-06-04,2016-10-10,2016-07-21
4556,4222,2016-05-10,2016-05-16,2016-09-20,2016-07-03
4557,4173,2016-05-10,2016-05-17,2016-09-28,2016-07-07
4558,4432,2016-05-09,2016-05-13,2016-09-22,2016-07-01
4559,4170,2016-05-09,2016-05-15,2016-09-24,2016-07-03
4560,4172,2016-05-10,2016-05-16,2016-09-28,2016-07-13
4561,4171,2016-05-10,2016-05-16,2016-09-27,2016-07-03
4562,4253,2016-05-17,2016-05-23,2016-10-02,2016-07-10
4563,4208,2016-05-12,2016-05-19,2016-09-28,2016-07-09
4564,4215,2016-05-12,2016-05-18,2016-09-28,2016-07-06
