ID_EVENTO,ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,AREA,RDT_AJUSTADO,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Antes_Siem,ContEnfQui_Siem_Eme,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Antes_Siem,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose,TotN_Antes_Siem,TotN_Siem_Emer,TotN_Emer_Flor,TotP_Antes_Siem,TotP_Siem_Emer,TotP_Emer_Flor,TotK_Antes_Siem,TotK_Siem_Emer,TotK_Emer_Flor,FerOrg_Antes_Siem,FerOrg_Siem_Emer,FerOrg_Emer_Flor,FerQui_Antes_Siem,FerQui_Siem_Emer,FerQui_Emer_Flor
783,669,Manual,NO,Otro,Algodón,SI,Manual,NO,1,2790.697674,6,42,77,60000,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,69,0,0,0,0,0,0,0,0,0,0,0,2
784,670,Mecanizado,SI,DK7088,Algodón,NO,Manual,NO,1,3860.465116,6,40,81,64000,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,3
785,671,Mecanizado,NO,DK7088,Maiz,SI,Manual,NO,1,3955.813953,7,38,85,62000,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,55,69,0,23,0,0,0,0,0,0,0,0,2,2
786,672,Mecanizado,SI,DK 234,Maiz,SI,Mecanizada,NO,19.5,5000,7,39,113,64000,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,55,46,0,23,0,0,0,0,0,0,0,0,2,1
787,653,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,2,3813.953488,6,42,80,57000,13,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,668,Manual,SI,DK7088,Algodón,NO,Manual,NO,1,2976.744186,6,38,82,58000,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,3
789,673,Manual,NO,PIONEER 30F35,Maiz,SI,Manual,NO,6.3,5860.465116,5,44,87,62000,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,3
791,674,Mecanizado,SI,PIONEER 30F35 H,Algodón,SI,Mecanizada,NO,11.4,6466.27907,6,42,83,65000,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,82.5,46,0,34.5,0,0,30,0,0,0,0,0,3,1
797,676,Mecanizado,NO,Otro,Maiz,SI,Mecanizada,NO,37.2,6948.837209,6,43,71,67000,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,55,0,0,23,0,0,0,0,0,0,0,0,2,0
804,680,Mecanizado,NO,Otro,Maiz,SI,Mecanizada,NO,44.2,6483.72093,6,44,63,62000,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,59.5,46,0,34.5,0,0,0,0,0,0,0,0,2,1
