ID_EVENTO,ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,AREA,RDT_AJUSTADO,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Antes_Siem,ContEnfQui_Siem_Eme,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Antes_Siem,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose
536,470,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,1.0,3720.9302325581393,5.0,47.0,78.0,60000.0,10,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0
537,471,Mecanizado,NO,FNC 114,Maiz,NO,Manual,NO,1.0,3767.441860465117,5.0,48.0,72.0,68000.0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
539,469,Mecanizado,SI,FNC 114,Maiz,SI,Manual,NO,2.5,3767.441860465117,5.0,50.0,70.0,60000.0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
540,475,Manual,SI,PIONEER 30F35 H,Maiz,SI,Manual,NO,2.0,4000.0,6.0,47.0,88.0,63000.0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
543,478,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,2.0,2383.720930232558,5.0,79.0,59.0,68000.0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
548,479,Mecanizado,NO,Otro,Maiz,SI,Manual,SI,1.0,3581.395348837209,6.0,45.0,70.0,60000.0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
549,480,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,3.0,2412.790697674419,5.0,46.0,92.0,68000.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
559,484,Mecanizado,NO,PIONEER 30F35,Maiz,SI,Manual,NO,2.0,4767.441860465116,5.0,43.0,79.0,68000.0,8,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
560,485,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,2.5,5339.53488372093,5.0,42.0,71.0,65000.0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
617,514,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,2.0,3337.2093023255816,5.0,43.0,78.0,68000.0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
618,515,Mecanizado,NO,PIONEER 30F35,Maiz,SI,Manual,NO,6.9,4825.581395348838,5.0,45.0,102.0,60000.0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
766,651,Mecanizado,NO,DK 234,Algodón,NO,Manual,NO,1.5,3296.5116279069766,5.0,44.0,73.0,60000.0,8,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0
769,654,Manual,SI,Otro,Algodón,SI,Manual,NO,1.25,3296.5116279069766,4.0,44.0,79.0,60000.0,12,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,1
779,665,Manual,NO,PIONEER 30F35 H,Pastos,NO,Manual,NO,1.0,3013.953488372093,8.0,34.0,78.0,57000.0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
780,666,Mecanizado,NO,DK 234,Algodón,NO,Manual,NO,1.2,3398.8372093023254,7.0,41.0,79.0,62000.0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1
781,667,Manual,NO,PIONEER 30F35,Algodón,NO,Manual,NO,1.5,3579.0697674418607,6.0,43.0,79.0,60000.0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
783,669,Manual,NO,Otro,Algodón,SI,Manual,NO,1.0,2790.6976744186045,6.0,42.0,77.0,60000.0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1
784,670,Mecanizado,SI,DK7088,Algodón,NO,Manual,NO,1.0,3860.46511627907,6.0,40.0,81.0,64000.0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
785,671,Mecanizado,NO,DK7088,Maiz,SI,Manual,NO,1.0,3955.813953488372,7.0,38.0,85.0,62000.0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
786,672,Mecanizado,SI,DK 234,Maiz,SI,Mecanizada,NO,19.5,5000.0,7.0,39.0,113.0,64000.0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
787,653,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,2.0,3813.953488372093,6.0,42.0,80.0,57000.0,13,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
788,668,Manual,SI,DK7088,Algodón,NO,Manual,NO,1.0,2976.7441860465115,6.0,38.0,82.0,58000.0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
789,673,Manual,NO,PIONEER 30F35,Maiz,SI,Manual,NO,6.3,5860.46511627907,5.0,44.0,87.0,62000.0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
791,674,Mecanizado,SI,PIONEER 30F35 H,Algodón,SI,Mecanizada,NO,11.4,6466.279069767442,6.0,42.0,83.0,65000.0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1
797,676,Mecanizado,NO,Otro,Maiz,SI,Mecanizada,NO,37.2,6948.837209302326,6.0,43.0,71.0,67000.0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
804,680,Mecanizado,NO,Otro,Maiz,SI,Mecanizada,NO,44.2,6483.720930232558,6.0,44.0,63.0,62000.0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1
805,681,Mecanizado,NO,Otro,Pastos,SI,Mecanizada,NO,14.8,6273.2558139534885,7.0,42.0,105.0,60000.0,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
806,682,Mecanizado,NO,Otro,Maiz,SI,Mecanizada,NO,29.0,6404.6511627906975,6.0,42.0,75.0,65000.0,11,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
807,683,Mecanizado,SI,PIONEER 30F35,Algodón,SI,Manual,NO,3.0,5720.930232558139,4.0,42.0,70.0,58000.0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
813,689,Manual,SI,DK 234,Algodón,SI,Manual,NO,1.0,3398.8372093023254,6.0,40.0,82.0,60000.0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0
814,690,Manual,NO,PAC 105,Algodón,SI,Manual,NO,1.4,3720.9302325581393,4.0,43.0,77.0,66000.0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
816,692,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,10.0,6197.674418604652,8.0,39.0,80.0,65000.0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1
817,693,Mecanizado,SI,DK7088,Algodón,SI,Manual,NO,2.5,3720.9302325581393,8.0,41.0,86.0,75000.0,12,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0
818,694,Mecanizado,SI,PAC 105,Algodón,SI,Manual,NO,2.1,4238.372093023256,7.0,40.0,78.0,60000.0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0
820,696,Mecanizado,NO,PAC 105,Algodón,SI,Mecanizada,NO,10.0,5244.186046511628,7.0,41.0,77.0,65000.0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
821,697,Mecanizado,SI,DK 234,Algodón,SI,Manual,NO,4.2,2860.4651162790697,5.0,41.0,81.0,62000.0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0
823,699,Manual,SI,PAC 105,Algodón,SI,Manual,NO,1.0,3296.5116279069766,6.0,45.0,69.0,62000.0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0
824,700,Mecanizado,SI,DK 234,Algodón,SI,Mecanizada,NO,4.1,3490.6976744186045,8.0,40.0,90.0,68000.0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0
825,701,Mecanizado,SI,PAC 105,Algodón,SI,Mecanizada,NO,5.9,3667.441860465117,7.0,39.0,82.0,60000.0,8,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0
826,702,Manual,NO,PAC 105,Algodón,SI,Manual,NO,1.0,4238.372093023256,6.0,43.0,77.0,70000.0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0
827,703,Manual,SI,Otro,Algodón,SI,Manual,NO,2.3,4576.744186046512,6.0,44.0,100.0,64000.0,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0
828,704,Manual,SI,PAC 105,Algodón,SI,Manual,NO,1.3,4709.302325581395,5.0,43.0,83.0,66000.0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0
829,705,Manual,SI,PAC 105,Algodón,SI,Manual,NO,2.0,4576.744186046512,6.0,45.0,86.0,63000.0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0
830,706,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,8.0,4053.488372093024,6.0,44.0,80.0,62500.0,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0
834,710,Manual,SI,PAC 105,Frijol,SI,Manual,NO,1.0,3711.627906976744,6.0,47.0,81.0,60000.0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
835,711,Mecanizado,SI,PIONEER 30F35,Maiz,SI,Mecanizada,NO,6.5,4050.0,5.0,46.0,86.0,66000.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
836,712,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,8.0,4709.302325581395,5.0,45.0,83.0,63000.0,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0
838,714,Mecanizado,SI,Otro,Maiz,SI,Manual,NO,3.3,4576.744186046512,7.0,43.0,71.0,64000.0,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
839,715,Manual,SI,PIONEER 30F35,Algodón,SI,Manual,NO,2.0,5308.139534883721,6.0,42.0,80.0,60000.0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
840,716,Mecanizado,NO,Otro,Algodón,SI,Mecanizada,NO,6.0,4709.302325581395,7.0,43.0,87.0,64000.0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0
841,717,Manual,SI,Otro,Algodón,SI,Manual,NO,1.0,6273.2558139534885,12.0,41.0,86.0,63000.0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1770,1547,Manual,SI,Otro,Maiz,NO,Manual,NO,1.25,3623.255813953489,4.0,41.0,100.0,59000.0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1771,1548,Manual,SI,Otro,Maiz,NO,Manual,NO,1.0,3767.441860465117,5.0,44.0,104.0,62000.0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
1772,1549,Manual,NO,Otro,Maiz,NO,Manual,NO,1.0,3348.8372093023254,7.0,37.0,84.0,58000.0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
1773,1550,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,3.0,4238.372093023256,4.0,53.0,76.0,75000.0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
1778,1555,Manual,SI,DK 234 YGRR,Maiz,SI,Manual,NO,3.0,4825.581395348838,6.0,42.0,87.0,60000.0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
1799,1575,Mecanizado,NO,DK 234,Maiz,SI,Mecanizada,NO,4.0,3813.953488372093,6.0,42.0,83.0,58000.0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
1800,1576,Manual,SI,DK7088,Maiz,NO,Manual,NO,1.0,3860.46511627907,7.0,37.0,98.0,62000.0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
2007,1789,Mecanizado,SI,DK7088,Algodón,SI,Mecanizada,NO,15.0,3051.1627906976746,9.0,47.0,87.0,60000.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2008,1790,Manual,SI,PIONEER 30F35,Algodón,SI,Manual,NO,1.3,1506.9767441860463,4.0,49.0,72.0,62000.0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2010,1792,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,9.0,5720.930232558139,5.0,47.0,78.0,75000.0,17,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0
2011,1793,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,1.5,5674.418604651163,5.0,47.0,72.0,75000.0,17,0,0,1,0,0,0,0,0,0,2,1,0,0,1,3,0
2012,1794,Mecanizado,NO,PAC 105,Algodón,SI,Manual,NO,2.0,3255.813953488372,3.0,49.0,77.0,60000.0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2013,1796,Mecanizado,SI,DK 234 YGRR,Algodón,SI,Manual,NO,8.4,3813.953488372093,4.0,49.0,75.0,62000.0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,1797,Mecanizado,NO,PAC 105,Algodón,NO,Manual,NO,1.2,2139.5348837209303,4.0,47.0,70.0,60000.0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
2015,1798,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,2.0,5625.581395348838,5.0,47.0,81.0,75000.0,17,0,0,1,0,0,0,0,0,0,2,1,0,0,1,3,0
2016,1799,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,3.0,5547.558139534884,5.0,45.0,82.0,75500.0,17,0,0,1,0,0,0,0,0,0,2,1,0,0,1,5,0
2017,1800,Mecanizado,NO,Otro,Algodón,NO,Manual,NO,4.1,1209.3023255813953,1.0,50.0,75.0,60000.0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2018,1801,Mecanizado,NO,DK 234 YGRR,Algodón,SI,Mecanizada,NO,1.3,5212.209302325581,4.0,47.0,76.0,62500.0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2020,1803,Mecanizado,NO,Otro,Algodón,SI,Manual,NO,3.0,3858.139534883721,6.0,53.0,66.0,68000.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021,1804,Mecanizado,NO,Otro,Algodón,NO,Manual,NO,1.0,5933.720930232558,5.0,53.0,63.0,84000.0,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0
2022,1805,Manual,NO,Otro,Algodón,SI,Manual,NO,1.0,3174.4186046511627,5.0,44.0,76.0,69500.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2029,1812,Mecanizado,NO,Otro,Algodón,SI,Manual,NO,3.0,2186.046511627907,4.0,47.0,67.0,60000.0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
2030,1814,Mecanizado,NO,PIONEER 30F32HW,,SI,Manual,NO,2.4,5236.0465116279065,6.0,39.0,83.0,58000.0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2031,1815,Mecanizado,SI,Otro,Algodón,SI,Mecanizada,NO,7.4,5180.232558139535,5.0,47.0,74.0,75000.0,17,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0
2032,1816,Mecanizado,NO,P4082 (Pioneer),Algodón,SI,Manual,NO,5.0,3527.906976744186,5.0,45.0,76.0,72000.0,17,0,0,0,0,0,0,0,0,0,2,1,0,0,1,4,0
2035,1820,Mecanizado,NO,Otro,Frijol,SI,Manual,NO,1.5,3720.9302325581393,3.0,46.0,88.0,70000.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2038,1822,Mecanizado,NO,Otro,,SI,Manual,NO,7.0,2860.4651162790697,5.0,46.0,90.0,58000.0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
2039,1823,Manual,NO,DK 1040,Frijol,SI,Manual,SI,1.5,1906.9767441860463,5.0,49.0,77.0,66000.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2040,1824,Mecanizado,NO,P4082 (Pioneer),Algodón,SI,Mecanizada,NO,14.0,1995.3488372093025,4.0,50.0,67.0,65000.0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
2041,1825,Mecanizado,NO,P4082 (Pioneer),Algodón,SI,Mecanizada,NO,15.0,2086.046511627907,4.0,47.0,74.0,70000.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2042,1826,Mecanizado,NO,DK 234 YGRR,Algodón,SI,Manual,SI,4.0,2418.6046511627906,5.0,48.0,61.0,87500.0,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2043,1827,Mecanizado,NO,P4082 (Pioneer),Algodón,SI,Manual,NO,1.5,1032.5581395348836,4.0,49.0,70.0,70000.0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
2044,1828,Manual,SI,PAC 105,Pastos,SI,Manual,NO,1.0,3534.883720930233,5.0,48.0,76.0,66000.0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
2045,1829,Manual,NO,P3966 (Pioneer),Algodón,SI,Manual,NO,3.5,5193.023255813953,5.0,47.0,76.0,66000.0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
2047,1833,Manual,NO,DK 234,Algodón,NO,Manual,NO,2.0,2046.5116279069769,4.0,49.0,78.0,60000.0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2048,1830,Mecanizado,NO,DK 234,Algodón,NO,Manual,NO,1.5,3530.232558139535,3.0,42.0,82.0,55000.0,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2050,1871,Mecanizado,SI,P4082 (Pioneer),Algodón,SI,Mecanizada,NO,7.0,5933.720930232558,5.0,45.0,77.0,75000.0,17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2
2051,1818,Mecanizado,SI,P4082 (Pioneer),Algodón,SI,Mecanizada,NO,6.0,5651.162790697675,5.0,47.0,72.0,75500.0,17,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0
2052,1819,Mecanizado,SI,P4082 (Pioneer),Algodón,SI,Mecanizada,NO,10.0,6511.627906976744,5.0,46.0,76.0,76000.0,17,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,2
2053,1872,Mecanizado,SI,P4082 (Pioneer),Algodón,SI,Mecanizada,NO,55.0,6626.744186046512,5.0,48.0,70.0,75000.0,17,0,0,0,1,0,0,0,0,0,1,2,0,0,2,5,2
2057,1795,Mecanizado,NO,PAC 105,Algodón,NO,Manual,NO,1.0,1695.3488372093022,4.0,47.0,80.0,60000.0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
2063,1879,Manual,NO,DK 234,Algodón,NO,Manual,NO,2.0,2260.4651162790697,4.0,47.0,82.0,60000.0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2065,1880,Mecanizado,SI,Impacto (Syngenta),Algodón,SI,Mecanizada,NO,20.0,3069.767441860465,6.0,50.0,77.0,60000.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
2066,1881,Manual,NO,DK 234,Algodón,NO,Manual,NO,1.0,2418.6046511627906,5.0,50.0,73.0,60000.0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2068,1887,Manual,NO,DK 1596,Algodón,NO,Manual,NO,2.0,2604.651162790697,3.0,46.0,79.0,60000.0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
2069,1904,Mecanizado,NO,Otro,Algodón,SI,Mecanizada,NO,9.5,3527.906976744186,5.0,46.0,92.0,62500.0,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,0
2070,1886,Manual,NO,PAC 105,Algodón,SI,Manual,NO,2.5,2883.720930232558,4.0,46.0,78.0,60000.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
2071,1889,Mecanizado,NO,DK 234,Algodón,NO,Manual,NO,4.0,1811.6279069767445,4.0,50.0,76.0,60000.0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2072,1891,Mecanizado,NO,DK 234,Algodón,SI,Manual,NO,5.0,2232.558139534884,3.0,46.0,81.0,62000.0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2073,1894,Mecanizado,NO,DK 234,Frijol,NO,Manual,NO,1.0,3162.7906976744184,3.0,47.0,81.0,60000.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2074,1897,Mecanizado,NO,DK 234,Algodón,NO,Manual,NO,2.0,2883.720930232558,4.0,48.0,80.0,60000.0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2076,1898,Mecanizado,NO,DK 234,Algodón,NO,Manual,NO,3.3,2790.6976744186045,4.0,48.0,81.0,60000.0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2077,1899,Mecanizado,NO,DK 234,Algodón,NO,Manual,NO,2.0,2976.7441860465115,4.0,46.0,81.0,60000.0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2078,1884,Mecanizado,SI,P4082 (Pioneer),Algodón,SI,Mecanizada,NO,15.0,5933.720930232558,5.0,47.0,73.0,75000.0,17,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,2
2079,1905,Manual,NO,DK 234,Algodón,SI,Manual,SI,1.0,4744.186046511628,5.0,46.0,85.0,73000.0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2080,1906,Manual,NO,DK 234,Algodón,SI,Manual,SI,1.0,4709.302325581395,5.0,47.0,78.0,73000.0,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2081,1907,Manual,NO,DK 234,Algodón,SI,Manual,SI,1.0,4672.093023255814,5.0,48.0,75.0,73000.0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
2082,1902,Manual,NO,PAC 105,Algodón,NO,Manual,NO,2.3,3234.232558139535,4.0,55.0,65.0,75000.0,7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,0
2083,1908,Manual,NO,Otro,Maiz,SI,Manual,SI,1.0,4709.302325581395,4.0,48.0,77.0,73000.0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
2084,1903,Mecanizado,NO,P3966 (Pioneer),Algodón,SI,Mecanizada,NO,7.8,3261.6279069767443,5.0,51.0,88.0,55000.0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0
2086,1909,Manual,NO,Otro,Algodón,SI,Manual,NO,1.0,5372.093023255814,5.0,47.0,70.0,73000.0,18,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0
2088,1910,Manual,NO,Otro,Algodón,SI,Manual,SI,1.0,4576.744186046512,5.0,46.0,74.0,73000.0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0
2089,1831,Mecanizado,NO,P4082 (Pioneer),Algodón,SI,Mecanizada,NO,6.0,1995.3488372093025,4.0,57.0,64.0,85700.0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2090,1911,Mecanizado,SI,P4082 (Pioneer),Algodón,SI,Mecanizada,NO,29.0,4988.372093023256,5.0,47.0,77.0,75000.0,17,0,0,1,0,0,0,0,0,0,2,1,0,0,1,2,0
